starname,rp,rp_err1,rp_err2,mp,mp_err1,mp_err2,ror,ror_err1,ror_err2,rs,rs_err1,rs_err2,ms,ms_err1,ms_err2,p,disc_method,temp,mag,ref,instrument,system_disc_method
HD 10442,,,,472.61321,24.15508,-24.15508,,,,1.97,,,1.01,,,1032.30000000,Radial Velocity,4912.00,7.8280000,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,W. M. Keck Observatory,Radial Velocity
HD 104985,,,,2637.90000,,,,,,11.00,,,2.30,,,199.50500000,Radial Velocity,4877.00,5.7938900,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60..539S/abstract target=ref> Sato et al. 2008 </a>,Okayama Astrophysical Observatory,Radial Velocity
HD 106252,,,,2202.56190,85.81410,-85.81410,,,,1.10,0.02,-0.02,1.01,0.05,-0.05,1531.00000000,Radial Velocity,5874.00,7.4100000,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,Lick Observatory,Radial Velocity
HD 106270,,,,3219.61790,85.81410,-85.81410,,,,2.66,,,1.39,,,1888.00000000,Radial Velocity,5509.00,7.5800000,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,W. M. Keck Observatory,Radial Velocity
HD 106315,2.440,0.170,-0.170,12.60000,3.20000,-3.20000,0.01728,0.00060,-0.00060,1.30,0.06,-0.06,1.09,0.04,-0.04,9.55237000,Transit,6327.00,8.9510000,<a refstr=BARROS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...608A..25B/abstract target=ref>Barros et al. 2017</a>,K2,Transit
HD 106315,4.350,0.230,-0.230,15.20000,3.70000,-3.70000,0.03086,0.00100,-0.00100,1.30,0.06,-0.06,1.09,0.04,-0.04,21.05704000,Transit,6327.00,8.9510000,<a refstr=BARROS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...608A..25B/abstract target=ref>Barros et al. 2017</a>,K2,Transit
HD 10647,,,,298.75000,25.43000,-25.43000,,,,1.10,0.02,-0.02,1.11,0.02,-0.02,989.20000000,Radial Velocity,6218.00,5.5200000,<a refstr=MARMIER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..90M/abstract target=ref> Marmier et al. 2013 </a>,W. M. Keck Observatory,Radial Velocity
HD 106515 A,,,,3054.22000,44.49000,-44.49000,,,,1.62,0.05,-0.05,0.97,0.01,-0.01,3630.00000000,Radial Velocity,5362.00,7.9710000,<a refstr=MARMIER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..90M/abstract target=ref> Marmier et al. 2013 </a>,La Silla Observatory,Radial Velocity
HD 10697,,,,2028.70889,24.79074,-24.79074,,,,1.79,,,1.13,,,1075.69000000,Radial Velocity,5600.00,6.2826200,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,W. M. Keck Observatory,Radial Velocity
HD 107148,,,,66.74100,11.44100,-11.44100,,,,,,,1.12,,,48.05600000,Radial Velocity,5797.00,8.0100000,<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>,W. M. Keck Observatory,Radial Velocity
HD 108147,,,,82.95000,12.71300,-12.71300,,,,1.21,0.06,-0.06,1.22,0.18,-0.18,10.89850000,Radial Velocity,6255.73,6.9900000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,La Silla Observatory,Radial Velocity
HD 108341,,,,1112.40000,1080.60000,-381.40000,,,,0.79,0.03,-0.03,0.84,0.02,-0.02,1129.00000000,Radial Velocity,5122.00,9.3800000,<a refstr=MOUTOU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...576A..48M/abstract target=ref>Moutou et al. 2015</a>,La Silla Observatory,Radial Velocity
HD 108863,,,,767.24162,24.79074,-24.79074,,,,5.74,,,1.59,,,437.70000000,Radial Velocity,4878.00,7.7100000,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,W. M. Keck Observatory,Radial Velocity
HD 108874,,,,451.31860,28.60470,-28.60470,,,,1.05,0.02,-0.02,1.10,0.09,-0.09,394.48123000,Radial Velocity,5600.00,8.7600000,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,W. M. Keck Observatory,Radial Velocity
HD 108874,,,,314.64000,19.07000,-19.07000,,,,1.05,0.02,-0.02,0.95,0.04,-0.04,1624.00000000,Radial Velocity,5551.00,8.7600000,<a refstr=WITTENMYER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJS..182...97W/abstract target=ref> Wittenmyer et al. 2009 </a>,W. M. Keck Observatory,Radial Velocity
HD 109246,,,,273.33380,79.45750,-79.45750,,,,1.07,0.02,-0.02,1.20,0.53,-0.53,68.27000000,Radial Velocity,5844.00,8.7510000,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,Haute-Provence Observatory,Radial Velocity
HD 109271,,,,17.16200,1.27100,-1.27100,,,,,,,1.05,0.02,-0.02,7.85430000,Radial Velocity,5783.00,8.0400000,<a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>,La Silla Observatory,Radial Velocity
HD 109271,,,,24.15400,2.22500,-2.22500,,,,,,,1.05,0.02,-0.02,30.93000000,Radial Velocity,5783.00,8.0400000,<a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>,La Silla Observatory,Radial Velocity
HD 109749,,,,85.81410,14.30235,-14.30235,,,,1.22,0.09,-0.09,1.13,0.22,-0.22,5.23989100,Radial Velocity,5824.00,8.0800000,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,W. M. Keck Observatory,Radial Velocity
HD 110014,,,,3524.59000,317.82000,-317.82000,,,,20.90,1.10,-1.10,2.17,0.28,-0.28,835.47700000,Radial Velocity,4445.00,4.6459700,<a refstr=DE_MEDEIROS_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A%26A...504..617D/abstract target=ref> de Medeiros et al. 2009 </a>,La Silla Observatory,Radial Velocity
HD 111232,,,,2269.30620,60.38770,-60.38770,,,,0.90,0.01,-0.01,0.84,0.03,-0.03,1143.00000000,Radial Velocity,5512.00,7.5900000,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,La Silla Observatory,Radial Velocity
HD 111591,,,,1398.45200,127.13200,-127.13200,,,,8.03,0.49,-0.49,1.94,0.07,-0.07,1056.40000000,Radial Velocity,4884.00,6.4170000,<a refstr=JEONG_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...610A...3J/abstract target=ref>Jeong et al. 2018</a>,Multiple Observatories,Radial Velocity
HD 111998,,,,1433.41330,158.91500,-158.91500,,,,1.45,0.07,-0.07,1.18,0.12,-0.12,825.90000000,Radial Velocity,6557.00,6.1100600,<a refstr=BORGNIET_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...599A..57B/abstract target=ref>Borgniet et al. 2017</a>,La Silla Observatory,Radial Velocity
HD 113337,,,,899.42000,76.28000,-76.28000,,,,1.50,0.15,-0.15,1.40,0.14,-0.14,324.00000000,Radial Velocity,6576.60,6.0207800,<a refstr=BORGNIET_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...561A..65B/abstract target=ref> Borgniet et al. 2014 </a>,Haute-Provence Observatory,Radial Velocity
HD 113538,,,,114.41000,12.71000,-12.71000,,,,0.53,0.02,-0.02,0.58,0.05,-0.05,663.20000000,Radial Velocity,4462.00,9.0500000,<a refstr=MOUTOU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...576A..48M/abstract target=ref>Moutou et al. 2015</a>,La Silla Observatory,Radial Velocity
HD 113538,,,,295.57000,19.07000,-19.07000,,,,0.53,0.02,-0.02,0.58,0.05,-0.05,1818.00000000,Radial Velocity,4462.00,9.0500000,<a refstr=MOUTOU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...576A..48M/abstract target=ref>Moutou et al. 2015</a>,La Silla Observatory,Radial Velocity
HD 113996,,,,2002.32900,317.83000,-317.83000,,,,25.11,1.20,-1.20,1.49,0.18,-0.18,610.20000000,Radial Velocity,4181.00,4.7704400,<a refstr=JEONG_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...610A...3J/abstract target=ref>Jeong et al. 2018</a>,Bohyunsan Optical Astronomical Observatory,Radial Velocity
HD 114386,,,,362.32620,41.31790,-41.31790,,,,0.76,0.02,-0.02,0.60,0.09,-0.09,937.70001000,Radial Velocity,4836.00,8.7300000,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,La Silla Observatory,Radial Velocity
HD 114613,,,,113.46531,10.17056,-10.17056,,,,2.14,,,1.27,,,4000.00000000,Radial Velocity,5641.00,4.8500000,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,Anglo-Australian Telescope,Radial Velocity
HD 114729,,,,262.20975,2.22481,-2.22481,,,,1.47,0.04,-0.04,0.94,0.01,-0.01,1121.79000000,Radial Velocity,5844.00,6.6800000,<a refstr=BARBATO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...615A.175B/abstract target=ref>Barbato et al. 2018</a>,W. M. Keck Observatory,Radial Velocity
HD 114762,,,,3397.60270,177.98480,-177.98480,,,,1.20,0.02,-0.02,0.80,0.06,-0.06,83.91510000,Radial Velocity,5869.00,7.3000000,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,Oak Ridge Observatory,Radial Velocity
HD 114783,,,,349.60000,19.07000,-19.07000,,,,,,,0.85,0.03,-0.03,493.70000000,Radial Velocity,5135.00,7.5600000,<a refstr=WITTENMYER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJS..182...97W/abstract target=ref> Wittenmyer et al. 2009 </a>,W. M. Keck Observatory,Radial Velocity
HD 114783,,,,194.19413,17.79848,-16.84499,,,,,,,0.85,0.03,-0.04,4319.00000000,Radial Velocity,,7.5600000,<a refstr=BRYAN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...821...89B/abstract target=ref>Bryan et al. 2016</a>,W. M. Keck Observatory,Radial Velocity
HD 11506,,,,1535.11890,165.27160,-165.27160,,,,1.34,0.05,-0.05,1.24,0.18,-0.18,1622.10000000,Radial Velocity,6030.00,7.5100000,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,W. M. Keck Observatory,Radial Velocity
HD 11506,,,,129.67464,18.11631,-18.11631,,,,1.34,0.05,-0.05,1.24,0.18,-0.18,223.41000000,Radial Velocity,6030.00,7.5100000,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,W. M. Keck Observatory,Radial Velocity
HD 116029,,,,444.96200,92.17070,-92.17070,,,,4.89,0.21,-0.21,0.83,0.24,-0.24,670.00000000,Radial Velocity,4819.00,7.8800000,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,W. M. Keck Observatory,Radial Velocity
HD 116029,,,,403.64410,47.67450,-47.67450,,,,4.89,0.21,-0.21,1.33,0.11,-0.11,907.00000000,Radial Velocity,,7.8800000,<a refstr=BRYAN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...821...89B/abstract target=ref>Bryan et al. 2016</a>,W. M. Keck Observatory,Radial Velocity
HD 117207,,,,612.14058,10.80622,-10.80622,,,,1.07,0.04,-0.04,1.05,0.03,-0.03,2621.75000000,Radial Velocity,5732.00,7.2600000,<a refstr=BARBATO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...615A.175B/abstract target=ref>Barbato et al. 2018</a>,W. M. Keck Observatory,Radial Velocity
HD 11755,,,,1789.38290,292.40360,-292.40360,,,,20.58,2.27,-2.27,0.72,0.17,-0.17,433.70001000,Radial Velocity,4312.00,6.8826900,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,Bohyunsan Optical Astronomical Observatory,Radial Velocity
HD 117618,,,,55.30242,4.44962,-4.44962,,,,,,,1.08,,,25.80000000,Radial Velocity,5990.00,7.1700000,<a refstr=WITTENMYER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.484.5859W/abstract target=ref>Wittenmyer et al. 2019</a>,Anglo-Australian Telescope,Radial Velocity
HD 118203,,,,886.74570,79.45750,-79.45750,,,,2.06,0.06,-0.06,1.84,0.24,-0.24,6.13350000,Radial Velocity,5864.00,8.0500000,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,Haute-Provence Observatory,Radial Velocity
HD 11964,,,,198.00000,18.00000,-18.00000,,,,2.01,0.10,-0.10,0.91,0.11,-0.11,1945.00000000,Radial Velocity,5303.00,6.4152500,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,W. M. Keck Observatory,Radial Velocity
HD 11964,,,,25.00000,3.10000,-3.10000,,,,2.01,0.10,-0.10,0.91,0.11,-0.11,37.91000000,Radial Velocity,5303.00,6.4152500,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,W. M. Keck Observatory,Radial Velocity
HD 11977,,,,2080.00000,,,,,,10.09,0.32,-0.32,1.91,0.21,-0.21,711.00000000,Radial Velocity,4970.00,4.6800000,<a refstr=SETIAWAN_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005A&A...437L..31S/abstract target=ref> Setiawan et al. 2005 </a>,La Silla Observatory,Radial Velocity
HD 120084,,,,1430.20000,,,,,,9.12,0.65,-0.61,2.39,0.06,-0.30,2082.00000000,Radial Velocity,4892.00,5.9068600,<a refstr=SATO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013PASJ...65...85S/abstract target=ref> Sato et al. 2013 </a>,Okayama Astrophysical Observatory,Radial Velocity
HD 121504,,,,479.92330,41.31790,-41.31790,,,,1.07,0.02,-0.02,1.62,0.21,-0.21,63.33000000,Radial Velocity,6027.00,7.5400000,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,La Silla Observatory,Radial Velocity
HD 12484,,,,947.13340,44.49620,-44.49620,,,,,,,1.01,0.03,-0.03,58.83000000,Radial Velocity,5920.00,8.1800000,<a refstr=H_EACUTE_BRARD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...588A.145H/abstract target=ref>H&eacute;brard et al. 2016</a>,Haute-Provence Observatory,Radial Velocity
HD 125390,,,,7043.11280,305.11680,-305.11680,,,,6.47,,,1.36,,,1756.20000000,Radial Velocity,4850.00,8.2100000,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,W. M. Keck Observatory,Radial Velocity
HD 125595,,,,6.35660,3.17830,-3.17830,,,,0.74,0.05,-0.05,0.29,0.25,-0.25,9.67370000,Radial Velocity,4691.00,9.0300000,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,La Silla Observatory,Radial Velocity
HD 125612,,,,985.27300,127.13200,-127.13200,,,,1.05,0.07,-0.07,1.11,0.20,-0.20,557.04000000,Radial Velocity,5841.00,8.3100000,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,W. M. Keck Observatory,Radial Velocity
HD 125612,,,,17.48065,3.17830,-3.17830,,,,1.05,0.07,-0.07,1.11,0.20,-0.20,4.15514000,Radial Velocity,5841.00,8.3100000,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,La Silla Observatory,Radial Velocity
HD 125612,,,,2313.80240,295.58190,-295.58190,,,,1.05,0.07,-0.07,1.11,0.20,-0.20,2835.00000000,Radial Velocity,5841.00,8.3100000,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,La Silla Observatory,Radial Velocity
HD 12648,,,,622.94680,69.92260,-69.92260,,,,11.02,0.48,-0.48,0.67,0.07,-0.07,133.60001000,Radial Velocity,4835.00,6.9865600,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,Bohyunsan Optical Astronomical Observatory,Radial Velocity
HD 126525,,,,75.32571,0.63566,-0.63566,,,,0.98,0.03,-0.03,0.90,0.01,-0.01,960.41000000,Radial Velocity,5638.00,7.8500000,<a refstr=BARBATO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...615A.175B/abstract target=ref>Barbato et al. 2018</a>,La Silla Observatory,Radial Velocity
HD 12661,,,,772.32690,44.49620,-44.49620,,,,1.20,0.02,-0.02,1.20,0.10,-0.10,262.70862000,Radial Velocity,5645.00,7.4300000,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,Multiple Observatories,Radial Velocity
HD 12661,,,,575.88400,15.25500,-15.25500,,,,1.11,0.08,-0.08,1.02,0.02,-0.02,1708.00000000,Radial Velocity,5748.00,7.4300000,<a refstr=LIU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014RAA....14.1447L/abstract target=ref>Liu et al. 2014</a>,Multiple Observatories,Radial Velocity
HD 126614,,,,130.31030,19.06980,-19.06980,,,,1.32,0.05,-0.05,1.26,0.20,-0.20,1244.00000000,Radial Velocity,5568.00,8.8100000,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,W. M. Keck Observatory,Radial Velocity
HD 128311,,,,562.24127,7.31009,-7.31009,,,,0.76,0.02,-0.02,0.83,0.01,-0.01,453.01900000,Radial Velocity,,7.4800000,<a refstr=MCARTHUR_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...795...41M/abstract target=ref>McArthur et al. 2014</a>,W. M. Keck Observatory,Radial Velocity
HD 128311,,,,1204.25787,293.67492,-137.30256,,,,0.76,0.02,-0.02,0.83,0.01,-0.01,921.53800000,Radial Velocity,,7.4800000,<a refstr=MCARTHUR_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...795...41M/abstract target=ref>McArthur et al. 2014</a>,W. M. Keck Observatory,Radial Velocity
HD 128356,,,,282.86870,22.24810,-22.24810,,,,0.85,0.02,-0.02,0.65,0.05,-0.05,298.20000000,Radial Velocity,4875.00,8.2411000,<a refstr=JENKINS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.466..443J/abstract target=ref>Jenkins et al. 2017</a>,Multiple Observatories,Radial Velocity
HD 129445,,,,508.50700,190.69000,-190.69000,,,,,,,0.99,,,1840.00000000,Radial Velocity,,8.8000000,<a refstr=ARRIAGADA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...711.1229A/abstract target=ref> Arriagada et al. 2010 </a>,Las Campanas Observatory,Radial Velocity
HD 130322,,,,365.49000,,,,,,0.85,0.04,-0.04,0.92,0.03,-0.03,10.70871000,Radial Velocity,5387.00,8.0400000,<a refstr=HINKEL_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...803....8H/abstract target=ref>Hinkel et al. 2015</a>,La Silla Observatory,Radial Velocity
HD 131496,,,,572.09400,31.78300,-31.78300,,,,4.44,,,1.34,,,896.00000000,Radial Velocity,4846.00,7.8000000,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,W. M. Keck Observatory,Radial Velocity
HD 131664,,,,6076.90960,540.31100,-540.31100,,,,1.08,0.02,-0.02,1.19,0.11,-0.11,1951.00000000,Radial Velocity,5892.00,8.1300000,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,La Silla Observatory,Radial Velocity
HD 13167,,,,1052.01730,50.85280,-50.85280,,,,2.39,,,1.35,,,2613.00000000,Radial Velocity,5671.00,8.3400000,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,W. M. Keck Observatory,Radial Velocity
HD 13189,,,,3480.23850,928.06360,-928.06360,,,,38.41,4.84,-4.84,2.24,0.88,-0.88,471.60001000,Radial Velocity,4175.00,7.5700000,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,Thueringer Landessternwarte Tautenburg,Radial Velocity
HD 132406,,,,1709.92540,416.35730,-416.35730,,,,1.34,0.04,-0.04,1.03,0.15,-0.15,974.00000000,Radial Velocity,5783.00,8.4500000,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,Haute-Provence Observatory,Radial Velocity
HD 132563,,,,473.54700,28.60350,-28.60350,,,,1.30,0.06,-0.06,1.23,0.18,-0.18,1544.00000000,Radial Velocity,6289.00,8.9280010,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,Roque de los Muchachos Observatory,Radial Velocity
HD 133131 A,,,,451.31860,12.71320,-12.71320,,,,,,,0.95,,,649.00000000,Radial Velocity,5799.00,7.6600000,<a refstr=TESKE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..167T/abstract target=ref>Teske et al. 2016</a>,Las Campanas Observatory,Radial Velocity
HD 133131 A,,,,133.48860,47.67450,-47.67450,,,,,,,0.95,,,3568.00000000,Radial Velocity,5799.00,7.6600000,<a refstr=TESKE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..167T/abstract target=ref>Teske et al. 2016</a>,Las Campanas Observatory,Radial Velocity
HD 133131 B,,,,794.57500,15.89150,-15.89150,,,,,,,0.93,,,5769.00000000,Radial Velocity,5805.00,8.4130000,<a refstr=TESKE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..167T/abstract target=ref>Teske et al. 2016</a>,Las Campanas Observatory,Radial Velocity
HD 134060,,,,10.10000,0.79000,-0.75000,,,,,,,1.09,,,3.26960000,Radial Velocity,5966.00,6.2900000,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,La Silla Observatory,Radial Velocity
HD 134060,,,,29.29000,4.43000,-4.24000,,,,,,,1.09,,,1291.56460000,Radial Velocity,5966.00,6.2900000,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,La Silla Observatory,Radial Velocity
HD 134987,,,,511.70630,22.24810,-22.24810,,,,1.22,0.03,-0.03,1.10,0.07,-0.07,258.17999000,Radial Velocity,5736.00,6.4700000,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,W. M. Keck Observatory,Radial Velocity
HD 134987,,,,260.00000,10.00000,-10.00000,,,,1.25,0.04,-0.04,1.10,0.07,-0.04,5000.00000000,Radial Velocity,5585.00,6.4700000,<a refstr=JONES_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.403.1703J/abstract target=ref> Jones et al. 2010 </a>,Multiple Observatories,Radial Velocity
HD 136352,,,,4.81000,0.59000,-0.56000,,,,1.004,,,0.81,,,11.58240000,Radial Velocity,5664.00,5.6500000,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,La Silla Observatory,Radial Velocity
HD 136352,,,,10.80000,1.08000,-1.05000,,,,1.004,,,0.81,,,27.58210000,Radial Velocity,5664.00,5.6500000,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,La Silla Observatory,Radial Velocity
HD 136352,,,,8.58000,1.18000,-1.15000,,,,1.004,,,0.81,,,107.59830000,Radial Velocity,5664.00,5.6500000,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,La Silla Observatory,Radial Velocity
HD 136418,,,,680.15620,47.67450,-47.67450,,,,3.78,0.10,-0.10,1.48,0.12,-0.12,464.29999000,Radial Velocity,4989.00,7.8490000,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,W. M. Keck Observatory,Radial Velocity
HD 13724,,,,8508.30910,1398.45200,-699.22600,,,,1.07,0.02,-0.02,1.14,0.06,-0.06,14763.40500000,Radial Velocity,5868.00,7.8900000,<a refstr=RICKMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...625A..71R/abstract target=ref>Rickman et al. 2019</a>,La Silla Observatory,Radial Velocity
HD 137388,,,,63.56600,6.35660,-6.35660,,,,0.88,0.01,-0.01,0.68,0.05,-0.05,330.00000000,Radial Velocity,5181.00,8.7100000,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,La Silla Observatory,Radial Velocity
