starname,rp,rp_err1,rp_err2,mp,mp_err1,mp_err2,ror,ror_err1,ror_err2,rs,rs_err1,rs_err2,ms,ms_err1,ms_err2,p,disc_method,temp,mag,ref,instrument,system_disc_method
55 Cnc,,,,1232.49300,21.61200,-21.61200,,,,0.96,0.07,-0.07,0.95,,,4825.00000000,Radial Velocity,,5.9508400,<a refstr=BALUEV_2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.446.1493B/abstract target=ref>Baluev 2015</a>,Lick Observatory,Radial Velocity
55 Cnc,1.910,0.080,-0.080,8.08000,0.31000,-0.31000,0.01870,0.00070,-0.00070,0.96,0.07,-0.07,0.90,0.12,-0.12,0.73653900,Radial Velocity,5250.00,5.9508400,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,McDonald Observatory,Radial Velocity
55 Cnc,,,,44.81200,3.81400,-3.81400,,,,0.96,0.07,-0.07,0.95,,,262.00000000,Radial Velocity,,5.9508400,<a refstr=BALUEV_2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.446.1493B/abstract target=ref>Baluev 2015</a>,Multiple Observatories,Radial Velocity
6 Lyn,,,,638.83830,24.47291,-24.47291,,,,5.20,,,1.44,,,934.30000000,Radial Velocity,4938.00,5.8730700,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,Okayama Astrophysical Observatory,Radial Velocity
61 Vir,,,,5.10000,0.50000,-0.50000,,,,0.96,0.01,-0.01,0.94,0.03,-0.03,4.21500000,Radial Velocity,5577.00,4.6955000,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,Multiple Observatories,Radial Velocity
61 Vir,,,,18.20000,1.10000,-1.10000,,,,0.96,0.01,-0.01,0.94,0.03,-0.03,38.02100000,Radial Velocity,5577.00,4.6955000,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,Multiple Observatories,Radial Velocity
61 Vir,,,,22.90000,2.60000,-2.60000,,,,0.96,0.01,-0.01,0.94,0.03,-0.03,123.01000000,Radial Velocity,5577.00,4.6955000,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,Multiple Observatories,Radial Velocity
7 CMa,,,,587.98550,19.06980,-19.06980,,,,4.87,0.17,-0.14,1.34,0.11,-0.12,735.10000000,Radial Velocity,4826.00,3.9500000,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...631A.136L/abstract target=ref>Luque et al. 2019</a>,Anglo-Australian Telescope,Radial Velocity
7 CMa,,,,276.51210,19.06980,-19.06980,,,,4.87,0.17,-0.14,1.34,0.11,-0.12,996.00000000,Radial Velocity,4826.00,3.9500000,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...631A.136L/abstract target=ref>Luque et al. 2019</a>,Multiple Observatories,Radial Velocity
70 Vir,,,,2357.02728,18.11631,-18.11631,,,,1.89,,,1.09,,,116.68800000,Radial Velocity,5495.00,4.9680800,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,Lick Observatory,Radial Velocity
75 Cet,,,,953.49000,,,,,,10.50,1.00,-1.00,2.49,0.02,-0.27,691.90000000,Radial Velocity,4846.00,5.3532000,<a refstr=SATO_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012PASJ...64..135S/abstract target=ref> Sato et al. 2012 </a>,Okayama Astrophysical Observatory,Radial Velocity
8 UMi,,,,416.35730,50.85280,-50.85280,,,,10.30,0.57,-0.57,1.44,0.19,-0.19,93.40000000,Radial Velocity,4847.00,6.8329500,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,Bohyunsan Optical Astronomical Observatory,Radial Velocity
81 Cet,,,,1684.40000,,,,,,11.00,2.00,-1.00,2.40,0.10,-0.40,952.70000000,Radial Velocity,4785.00,5.6430700,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,Okayama Astrophysical Observatory,Radial Velocity
91 Aqr,,,,1017.00000,,,,,,11.00,0.10,-0.10,1.40,0.10,-0.10,181.40000000,Radial Velocity,4665.00,4.2394600,<a refstr=MITCHELL_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A..87M/abstract target=ref> Mitchell et al. 2013 </a>,Lick Observatory,Radial Velocity
AU Mic,4.203,0.202,-0.202,57.20940,,,0.05140,0.00130,-0.00130,0.75,0.03,-0.03,0.50,0.03,-0.03,8.46321000,Transit,3700.00,8.8100000,<a refstr=PLAVCHAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020Natur.582..497P/abstract target=ref>Plavchan et al. 2020</a>,Transiting Exoplanet Survey Satellite (TESS),Transit
BD+03 2562,,,,2034.11200,413.17900,-413.17900,,,,32.35,8.82,-8.82,1.14,0.25,-0.25,481.90000000,Radial Velocity,4095.00,9.5770000,<a refstr=VILLAVER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...606A..38V/abstract target=ref>Villaver et al. 2017</a>,Multiple Observatories,Radial Velocity
BD+14 4559,,,,330.54320,149.38010,-149.38010,,,,0.86,0.04,-0.04,0.49,0.33,-0.33,268.94000000,Radial Velocity,4864.00,9.7800000,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,McDonald Observatory,Radial Velocity
BD+15 2375,,,,337.21763,85.81410,-85.81410,,,,8.95,1.45,-1.45,1.08,0.14,-0.14,153.22000000,Radial Velocity,4649.00,10.4100000,<a refstr=NIEDZIELSKI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...588A..62N/abstract target=ref>Niedzielski et al. 2016</a>,Roque de los Muchachos Observatory,Radial Velocity
BD+15 2940,,,,352.78000,,,,,,14.70,2.80,-2.80,1.10,0.20,-0.20,137.48000000,Radial Velocity,4796.00,9.0100000,<a refstr=NOWAK_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...770...53N/abstract target=ref> Nowak et al. 2013 </a>,McDonald Observatory,Radial Velocity
BD+20 2457,,,,17668.16970,24965.54650,-24965.54650,,,,71.02,73.63,-73.63,10.83,22.96,-22.96,379.63000000,Radial Velocity,4259.00,9.7430000,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,McDonald Observatory,Radial Velocity
BD+20 2457,,,,3963.17000,,,,,,49.00,26.00,-26.00,2.80,1.50,-1.50,621.99000000,Radial Velocity,4137.00,9.7430000,<a refstr=NIEDZIELSKI_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...707..768N/abstract target=ref> Niedzielski et al. 2009 </a>,McDonald Observatory,Radial Velocity
BD+20 274,,,,1334.88600,,,,,,17.30,0.90,-0.90,0.80,0.20,-0.20,578.20000000,Radial Velocity,4296.00,9.3670000,<a refstr=GETTEL_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...756...53G/abstract target=ref> Gettel et al. 2012 </a>,McDonald Observatory,Radial Velocity
BD+20 594,2.578,0.112,-0.112,22.24810,9.53490,-9.53490,,,,1.08,0.06,-0.06,1.67,0.40,-0.40,41.68550000,Transit,5766.00,10.8490000,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,K2,Transit
BD+48 738,,,,289.22530,,,,,,11.00,1.00,-1.00,0.74,0.39,-0.39,392.60000000,Radial Velocity,4414.00,9.1390000,<a refstr=GETTEL_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...745...28G/abstract target=ref> Gettel et al. 2012 </a>,McDonald Observatory,Radial Velocity
BD+48 740,,,,540.31100,222.48100,-222.48100,,,,10.33,1.81,-1.81,1.09,0.16,-0.16,733.00000000,Radial Velocity,4534.00,8.6900000,<a refstr=ADAM_OACUTE_W_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..47A/abstract target=ref>Adam&oacute;w et al. 2018</a>,Multiple Observatories,Radial Velocity
BD+49 828,,,,508.50000,127.10000,-63.60000,,,,7.60,1.30,-1.30,1.52,0.22,-0.22,2590.00000000,Radial Velocity,4943.00,9.3810000,<a refstr=NIEDZIELSKI_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...803....1N/abstract target=ref>Niedzielski et al. 2015</a>,McDonald Observatory,Radial Velocity
BD-06 1339,,,,8.50000,1.30000,-1.30000,,,,,,,0.70,,,3.87280000,Radial Velocity,4324.00,9.7000000,<a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>,La Silla Observatory,Radial Velocity
BD-06 1339,,,,53.00000,8.00000,-8.00000,,,,,,,0.70,,,125.94000000,Radial Velocity,4324.00,9.7000000,<a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>,La Silla Observatory,Radial Velocity
BD-08 2823,,,,12.71320,3.17830,-3.17830,,,,0.71,0.04,-0.04,0.50,0.26,-0.26,5.60000000,Radial Velocity,4816.00,9.8600000,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,La Silla Observatory,Radial Velocity
BD-08 2823,,,,104.00000,10.00000,-10.00000,,,,0.71,0.04,-0.04,0.74,0.07,-0.07,237.60000000,Radial Velocity,4746.00,9.8600000,<a refstr=HEBRARD_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..46H/abstract target=ref> H&eacute;brard et al. 2010 </a>,La Silla Observatory,Radial Velocity
BD-10 3166,,,,187.51970,22.24810,-22.24810,,,,0.91,0.04,-0.04,1.47,0.24,-0.24,3.48777000,Radial Velocity,5393.00,10.0130000,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,W. M. Keck Observatory,Radial Velocity
BD-11 4672,,,,206.58950,15.89150,-19.06980,,,,0.64,0.02,-0.02,0.65,0.03,-0.03,1634.00000000,Radial Velocity,4550.00,10.0300000,<a refstr=BARBATO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200614393B/abstract target=ref>Barbato et al. 2020</a>,La Silla Observatory,Radial Velocity
BD-11 4672,,,,15.37000,2.97000,-2.81000,,,,0.64,0.02,-0.02,0.65,0.03,-0.03,74.20000000,Radial Velocity,4550.00,10.0300000,<a refstr=BARBATO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200614393B/abstract target=ref>Barbato et al. 2020</a>,Roque de los Muchachos Observatory,Radial Velocity
BD-13 2130,,,,3108.37740,1449.30480,-1449.30480,,,,19.17,4.96,-4.96,2.12,1.47,-1.47,714.29999000,Radial Velocity,4545.00,10.0380000,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,La Silla Observatory,Radial Velocity
BD-17 63,,,,1620.90000,38.14000,-38.14000,,,,0.69,,,0.74,0.03,-0.03,655.60000000,Radial Velocity,4714.00,9.6200000,<a refstr=MOUTOU_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...496..513M/abstract target=ref> Moutou et al. 2009 </a>,La Silla Observatory,Radial Velocity
CI Tau,,,,3686.82800,921.70700,-858.14100,,,,,,,0.90,0.02,-0.02,8.98910000,Radial Velocity,,13.6420000,<a refstr=FLAGG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190602860F/abstract target=ref>Flagg et al. 2019</a>,Multiple Observatories,Radial Velocity
CoRoT-1,16.700,0.900,-0.900,327.35000,38.14000,-38.14000,0.13880,0.00210,-0.00210,1.11,0.05,-0.05,0.95,0.15,-0.15,1.50895570,Transit,5950.00,13.6230000,<a refstr=BARGE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...482L..17B/abstract target=ref> Barge et al. 2008 </a>,CoRoT,Transit
CoRoT-10,10.870,0.780,-0.780,874.00000,50.85000,-50.85000,0.12690,0.00380,-0.00380,0.79,0.05,-0.05,0.89,0.05,-0.05,13.24060000,Transit,5075.00,15.2930000,<a refstr=BONOMO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..65B/abstract target=ref> Bonomo et al. 2010 </a>,CoRoT,Transit
CoRoT-11,16.030,0.340,-0.340,740.51000,108.06000,-108.06000,0.10700,0.00050,-0.00050,1.37,0.03,-0.03,1.27,0.05,-0.05,2.99433000,Transit,6440.00,12.8970000,<a refstr=GANDOLFI_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...524A..55G/abstract target=ref> Gandolfi et al. 2010 </a>,CoRoT,Transit
CoRoT-12,16.140,1.460,-1.460,291.43800,22.24700,-20.65800,,,,1.12,0.10,-0.09,1.08,0.08,-0.07,2.82804200,Transit,5675.00,15.5880000,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..97G/abstract target=ref> Gillon et al. 2010 </a>,CoRoT,Transit
CoRoT-13,9.920,0.157,-0.157,415.70400,20.97600,-20.97600,0.09090,0.00140,-0.00140,1.01,0.03,-0.03,1.09,0.02,-0.02,4.03519000,Transit,5945.00,15.0050000,<a refstr=CABRERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...522A.110C/abstract target=ref> Cabrera et al. 2010 </a>,CoRoT,Transit
CoRoT-14,12.220,0.780,-0.780,2415.40000,190.70000,-190.70000,0.09250,0.00190,-0.00190,1.21,0.08,-0.08,1.13,0.09,-0.09,1.51214000,Transit,6035.00,15.9320000,<a refstr=TINGLEY_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...528A..97T/abstract target=ref> Tingley et al. 2011 </a>,CoRoT,Transit
CoRoT-16,13.110,1.790,-1.570,170.03200,27.01400,-26.37900,0.10100,0.00460,-0.00460,1.19,0.14,-0.13,1.10,0.08,-0.08,5.35227000,Transit,5650.00,16.0520000,<a refstr=OLLIVIER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...541A.149O/abstract target=ref> Ollivier et al. 2012 </a>,CoRoT,Transit
