kepid,ra,ra_err,dec,dec_err,ra_str,dec_str,kepoi_name,kepler_name,alt_name,tm_designation,koi_list_flag,last_update
8766650,296.547520,0.000000,44.941929,0.000000,19h46m11.40s,+44d56m30.9s,K01904.01,Kepler-1008 b,Kepler-1008 b,2MASS J19461140+4456309,YES,2016-05-10
8226050,289.192630,0.000000,44.149319,0.000000,19h16m46.23s,+44d08m57.5s,K01910.01,Kepler-1010 b,Kepler-1010 b,2MASS J19164623+4408575,YES,2016-05-10
9704384,289.296260,0.000000,46.457951,0.000000,19h17m11.10s,+46d27m28.6s,K01913.01,Kepler-1012 b,Kepler-1012 b,2MASS J19171110+4627286,YES,2016-05-10
8218379,285.122040,0.000000,44.110600,0.000000,19h00m29.29s,+44d06m38.2s,K01920.01,Kepler-1014 b,Kepler-1014 b,2MASS J19002928+4406381,YES,2016-05-10
7755636,292.757320,0.000000,43.426910,0.000000,19h31m01.76s,+43d25m36.9s,K01921.01,Kepler-1015 b,Kepler-1015 b,2MASS J19310175+4325368,YES,2016-05-10
9072190,283.596680,0.000000,45.407879,0.000000,18h54m23.20s,+45d24m28.4s,K01933.01,Kepler-1018 b,Kepler-1018 b,2MASS J18542320+4524283,YES,2016-05-10
8081187,284.510190,0.000000,43.961658,0.000000,18h58m02.45s,+43d57m42.0s,K01951.01,Kepler-1025 b,Kepler-1025 b,2MASS J18580244+4357419,YES,2016-05-10
4813563,283.605260,0.000000,39.997978,0.000000,18h54m25.26s,+39d59m52.7s,K01959.01,Kepler-1026 b,Kepler-1026 b,2MASS J18542526+3959527,YES,2016-05-10
7269493,287.571170,0.000000,42.813919,0.000000,19h10m17.08s,+42d48m50.1s,K01961.01,Kepler-1027 b,Kepler-1027 b,2MASS J19101708+4248501,YES,2016-05-10
6205897,292.132970,0.000000,41.547539,0.000000,19h28m31.91s,+41d32m51.1s,K01967.01,Kepler-1029 b,Kepler-1029 b,2MASS J19283191+4132511,YES,2016-05-10
9347009,293.681920,0.000000,45.817558,0.000000,19h34m43.66s,+45d49m03.2s,K01971.01,Kepler-1030 b,Kepler-1030 b,2MASS J19344365+4549032,YES,2016-05-10
11253711,296.089750,0.000000,48.955372,0.000000,19h44m21.54s,+48d57m19.3s,K01972.02,Kepler-1031 b,Kepler-1031 b,2MASS J19442153+4857193,YES,2016-05-10
4917596,289.930850,0.000000,40.097752,0.000000,19h19m43.40s,+40d05m51.9s,K01973.01,Kepler-1032 b,Kepler-1032 b,2MASS J19194340+4005519,YES,2016-05-10
11769890,295.181640,0.000000,49.945782,0.000000,19h40m43.59s,+49d56m44.8s,K01980.01,Kepler-1036 b,Kepler-1036 b,2MASS J19404359+4956448,YES,2016-05-10
10153855,296.341030,0.000000,47.170860,0.000000,19h45m21.85s,+47d10m15.1s,K01981.01,Kepler-1037 b,Kepler-1037 b,2MASS J19452184+4710150,YES,2016-05-10
8257205,298.972170,0.000000,44.132381,0.000000,19h55m53.32s,+44d07m56.6s,K01986.01,Kepler-1038 b,Kepler-1038 b,2MASS J19555332+4407565,YES,2016-05-10
10779233,283.113770,0.000000,48.131390,0.000000,18h52m27.30s,+48d07m53.0s,K01989.01,Kepler-1040 b,Kepler-1040 b,2MASS J18522730+4807530,YES,2016-05-10
4736569,288.668910,0.000000,39.824009,0.000000,19h14m40.54s,+39d49m26.4s,K01996.01,Kepler-1042 b,Kepler-1042 b,2MASS J19144054+3949264,YES,2016-05-10
9834040,293.144470,0.000000,46.666241,0.000000,19h32m34.67s,+46d39m58.5s,K01998.01,Kepler-1044 b,Kepler-1044 b,2MASS J19323466+4639584,YES,2016-05-10
10024701,296.755740,0.000000,46.998291,0.000000,19h47m01.38s,+46d59m53.8s,K02002.01,Kepler-1046 b,Kepler-1046 b,2MASS J19470138+4659538,YES,2016-05-10
12154526,288.646270,0.000000,50.788979,0.000000,19h14m35.10s,+50d47m20.3s,K02004.02,Kepler-1047 c,Kepler-1047 c,2MASS J19143510+5047203,YES,2016-05-10
6665512,281.898350,0.000000,42.165791,0.000000,18h47m35.60s,+42d09m56.8s,K02005.01,Kepler-1048 b,Kepler-1048 b,2MASS J18473560+4209568,YES,2016-05-10
10525027,287.346740,0.000000,47.772961,0.000000,19h09m23.22s,+47d46m22.7s,K02006.01,Kepler-1049 b,Kepler-1049 b,2MASS J19092321+4746226,YES,2016-05-10
11069176,282.924990,0.000000,48.626389,0.000000,18h51m42.00s,+48d37m35.0s,K02007.01,Kepler-1050 b,Kepler-1050 b,2MASS J18514199+4837350,YES,2016-05-10
11069176,282.924990,0.000000,48.626389,0.000000,18h51m42.00s,+48d37m35.0s,K02007.02,Kepler-1050 c,Kepler-1050 c,2MASS J18514199+4837350,YES,2016-05-10
8490993,290.263280,0.000000,44.556450,0.000000,19h21m03.19s,+44d33m23.2s,K00911.01,Kepler-722 b,Kepler-722 b,2MASS J19210318+4433232,YES,2016-05-10
5631630,295.158110,0.000000,40.898849,0.000000,19h40m37.95s,+40d53m55.9s,K02010.01,Kepler-1051 b,Kepler-1051 b,2MASS J19403794+4053558,YES,2016-05-10
4056616,291.418640,0.000000,39.127419,0.000000,19h25m40.47s,+39d07m38.7s,K02013.01,Kepler-1053 b,Kepler-1053 b,2MASS J19254047+3907387,YES,2016-05-10
9973109,299.526000,0.000000,46.899261,0.000000,19h58m06.24s,+46d53m57.3s,K02018.01,Kepler-1056 b,Kepler-1056 b,2MASS J19580623+4653573,YES,2016-05-10
9349482,294.595790,0.000000,45.875031,0.000000,19h38m22.99s,+45d52m30.1s,K02020.01,Kepler-1058 b,Kepler-1058 b,2MASS J19382298+4552301,YES,2016-05-10
4544907,286.025180,0.000000,39.630932,0.000000,19h04m06.04s,+39d37m51.4s,K02024.01,Kepler-1060 b,Kepler-1060 b,2MASS J19040604+3937513,YES,2016-05-10
7102316,286.452700,0.000000,42.657879,0.000000,19h05m48.65s,+42d39m28.4s,K02028.03,Kepler-351 d,Kepler-351 d,2MASS J19054864+4239283,YES,2016-05-10
2985767,290.526760,0.000000,38.142979,0.000000,19h22m06.42s,+38d08m34.7s,K02032.01,Kepler-1063 b,Kepler-1063 b,2MASS J19220642+3808347,YES,2016-05-10
2304320,291.741640,0.000000,37.688938,0.000000,19h26m57.99s,+37d41m20.2s,K02033.01,Kepler-1064 b,Kepler-1064 b,2MASS J19265799+3741202,YES,2016-05-10
10000941,286.819370,0.000000,46.911690,0.000000,19h07m16.65s,+46d54m42.1s,K04146.01,Kepler-1558 b,Kepler-1558 b,2MASS J19071664+4654420,YES,2016-05-10
6607644,292.286590,0.000000,42.072460,0.000000,19h29m08.78s,+42d04m20.9s,K04159.01,Kepler-1559 b,Kepler-1559 b,2MASS J19290877+4204208,YES,2016-05-10
7610663,292.784610,0.000000,43.215981,0.000000,19h31m08.31s,+43d12m57.5s,K04160.01,Kepler-1560 b,Kepler-1560 b,2MASS J19310830+4312575,YES,2016-05-10
4548011,287.371250,0.000000,39.603569,0.000000,19h09m29.10s,+39d36m12.8s,K04288.01,Kepler-1581 b,Kepler-1581 b,2MASS J19092910+3936128,YES,2016-05-10
8507475,296.159000,0.000000,44.563110,0.000000,19h44m38.16s,+44d33m47.2s,K04300.01,Kepler-1585 b,Kepler-1585 b,2MASS J19443816+4433472,YES,2016-05-10
8773015,298.202610,0.000000,44.925831,0.000000,19h52m48.63s,+44d55m33.0s,K04301.01,Kepler-1586 b,Kepler-1586 b,2MASS J19524862+4455329,YES,2016-05-10
