Starname,Rp,Mp,P,Rs,Ms,Ms-Err,Detection Method,Source,System Detection Method
K2-77,2.2495299011144247,603.8513060951104,8.19979600,0.76,0.80,0.12,Transit,Exoarchive,Transit
K2-79,3.6102211583738817,,10.99573000,1.28,1.06,0.04,Transit,Exoarchive,Transit
K2-8,3.5004879924658607,,10.35239000,0.74,0.78,0.04,Transit,Exoarchive,Transit
K2-8,2.3592630670224453,,5.06416000,0.74,0.78,0.04,Transit,Exoarchive,Transit
K2-80,1.9642236697535709,,19.09180000,0.87,0.90,0.08,Transit,Exoarchive,Transit
K2-80,1.4375044733950715,,5.60500000,0.87,0.90,0.08,Transit,Exoarchive,Transit
K2-80,2.5019161827028724,,28.86725300,0.87,0.90,0.08,Transit,Exoarchive,Transit
K2-81,1.9313037199811647,,6.10232500,0.63,0.75,0.07,Transit,Exoarchive,Transit
K2-83,1.21803814157903,,2.74697000,0.42,0.48,0.02,Transit,Exoarchive,Transit
K2-83,1.4484777899858734,,9.99767000,0.42,0.48,0.02,Transit,Exoarchive,Transit
K2-84,2.3592630670224453,,6.42150000,0.93,0.95,0.07,Transit,Exoarchive,Transit
K2-84,1.986170302935175,,27.86000000,0.93,0.95,0.07,Transit,Exoarchive,Transit
K2-85,0.9875984931721865,,0.68453300,0.51,0.57,0.05,Transit,Exoarchive,Transit
K2-86,1.9203304033903625,,8.77683000,0.76,0.79,0.08,Transit,Exoarchive,Transit
K2-87,7.439908648563804,,9.72661800,1.40,1.16,0.04,Transit,Exoarchive,Transit
K2-88,1.2070648249882279,,4.61220000,0.26,0.26,0.07,Transit,Exoarchive,Transit
K2-89,0.6035324124941139,,1.09602600,0.32,0.35,0.04,Transit,Exoarchive,Transit
K2-9,2.2056366347512166,,18.44980000,0.31,0.30,0.14,Transit,Exoarchive,Transit
K2-90,2.5458094490660805,,13.73331400,0.62,0.63,0.02,Transit,Exoarchive,Transit
K2-90,1.2729047245330403,,2.90070600,0.62,0.63,0.02,Transit,Exoarchive,Transit
K2-91,1.075385025898603,,1.41954900,0.28,0.29,0.06,Transit,Exoarchive,Transit
K2-95,3.796767540417517,,10.13401600,0.42,0.44,0.01,Transit,Exoarchive,Transit
K2-97,10.391730811489563,,8.40672600,4.47,1.20,0.05,Transit,Exoarchive,Transit
K2-98,5.091618898132161,,10.13644800,1.57,1.20,0.03,Transit,Exoarchive,Transit
K2-99,11.478089153978967,,18.25198500,2.63,1.63,0.04,Transit,Exoarchive,Transit
KELT-1,12.1803814157903,8654.14266577361,1.21751400,1.46,1.32,0.03,Transit,Exoarchive,Transit
KELT-10,15.351669910532099,215.797387809779,4.16627390,1.21,1.11,0.06,Transit,Exoarchive,Transit
KELT-11,14.813977397582796,54.34661754855995,4.73610000,2.69,1.44,0.07,Transit,Exoarchive,Transit
KELT-12,19.53250353162769,301.9256530475552,5.03162300,2.37,1.59,0.07,Transit,Exoarchive,Transit
KELT-14,19.126490817768012,408.0763563295378,1.71005660,1.52,1.24,0.04,Transit,Exoarchive,Transit
KELT-15,19.093570867995606,416.3395847287341,3.32944000,1.78,2.06,0.75,Transit,Exoarchive,Transit
KELT-16,15.527242975984931,873.9953114534494,0.96899510,1.36,1.21,0.04,Transit,Exoarchive,Transit
KELT-17,16.73430780097316,416.3395847287341,3.08017160,1.65,1.64,0.07,Transit,Exoarchive,Transit
KELT-18,17.228107047559252,375.02344273275276,2.87175180,1.91,1.52,0.07,Transit,Exoarchive,Transit
KELT-19 A,20.959034688431956,1293.5130609511052,4.61170930,1.83,1.62,0.25,Transit,Exoarchive,Transit
KELT-2 A,14.813977397582796,540.2880107166777,4.11379000,1.93,1.54,0.28,Transit,Exoarchive,Transit
KELT-20,19.104544184586405,1074.8553248492967,3.47410850,1.56,1.76,0.14,Transit,Exoarchive,Transit
KELT-21,17.403680113012086,1242.662424648359,3.61276470,1.64,1.46,0.03,Transit,Exoarchive,Transit
KELT-23 A,14.51769784963114,298.1118553248493,2.25525100,1.00,0.94,0.06,Transit,Exoarchive,Transit
KELT-24,13.958058703500235,1646.2893503014063,5.55149260,1.51,1.46,0.06,Transit,Exoarchive,Transit
KELT-3,17.118373881651234,616.563965170797,2.70339000,1.70,1.96,0.50,Transit,Exoarchive,Transit
KELT-4 A,18.64366488777272,286.6704621567314,2.98959320,1.60,1.20,0.07,Transit,Exoarchive,Transit
KELT-6,14.265311568042694,165.26456798392496,7.84570000,1.73,1.42,0.46,Transit,Exoarchive,Mixed
KELT-6,,1179.0991292699262,1276.00000000,1.73,1.42,0.46,Radial Velocity,Exoarchive,Mixed
KELT-7,17.557306545283314,441.7649028801071,2.73477000,1.81,1.76,0.25,Transit,Exoarchive,Transit
KELT-8,17.776772877099358,209.75887474882785,3.24406000,1.46,0.81,0.21,Transit,Exoarchive,Transit
KELT-9,20.75054167320672,915.3114534494306,1.48112350,2.36,2.52,0.25,Transit,Exoarchive,Transit
KIC 10001893,,,0.21970000,,,,Orbital Brightness Modulation,Exoarchive,Orbital Brightness Modulation
KIC 10001893,,,0.32528000,,,,Orbital Brightness Modulation,Exoarchive,Orbital Brightness Modulation
KIC 10001893,,,0.81161000,,,,Orbital Brightness Modulation,Exoarchive,Orbital Brightness Modulation
KIC 10525077,5.387898446083818,,854.08300000,1.01,1.01,0.12,Transit,Exoarchive,Transit
KIC 3558849,6.759563019934077,,1322.30000000,1.01,0.98,0.11,Transit,Exoarchive,Transit
KIC 5095269,,2444.962156731413,237.68977000,,1.21,,Eclipse Timing Variations,Exoarchive,Eclipse Timing Variations
KIC 5437945,6.265763773347983,,440.78130000,1.24,1.07,0.17,Transit,Exoarchive,Transit
KIC 5951458,6.46328347198242,,1320.10000000,1.52,0.98,0.21,Transit,Exoarchive,Transit
KIC 7917485,,3750.2344273275285,840.00000000,,1.63,0.15,Pulsation Timing Variations,Exoarchive,Pulsation Timing Variations
KOI-7892,4.016233872233558,,31.80990000,1.26,1.04,0.20,Transit,Exoarchive,Transit
KOI-7892,2.3482897504316433,,75.20000000,1.26,1.04,0.20,Transit,Exoarchive,Transit
KIC 9663113,4.4990598022288495,,572.38470000,1.03,0.98,0.13,Transit,Exoarchive,Transit
KMT-2016-BLG-0212L,,5720.696584058941,,,0.48,0.38,Microlensing,Exoarchive,Microlensing
KMT-2016-BLG-1107L,,1043.3914936369724,,,0.09,0.09,Microlensing,Exoarchive,Microlensing
KMT-2016-BLG-1397L,,2224.715338245144,,,0.45,0.33,Microlensing,Exoarchive,Microlensing
KMT-2016-BLG-1820L,,1452.4212993971869,,,0.04,0.04,Microlensing,Exoarchive,Microlensing
KMT-2016-BLG-1836L,,699.1962491627596,,,0.49,0.38,Microlensing,Exoarchive,Microlensing
KMT-2016-BLG-2142L,,4922.977227059611,,,0.07,0.12,Microlensing,Exoarchive,Microlensing
KMT-2017-BLG-0165L,,34.00000669792364,,,0.76,0.34,Microlensing,Exoarchive,Microlensing
KMT-2017-BLG-1038L,,635.6329537843268,,,0.37,0.36,Microlensing,Exoarchive,Microlensing
KMT-2017-BLG-1146L,,225.649698593436,,,0.33,0.36,Microlensing,Exoarchive,Microlensing
KMT-2018-BLG-1990L,,110.60013395847285,,,0.09,0.04,Microlensing,Exoarchive,Microlensing
KOI-12,13.497179406686548,349.5981245813798,17.85518200,1.40,1.50,0.10,Transit,Exoarchive,Mixed
KOI-1257,10.314917595353947,460.8338914936369,86.64766100,1.13,0.99,0.05,Transit,Exoarchive,Transit
KOI-13,16.59165468529273,2949.336905559276,1.76358800,1.74,1.72,0.10,Transit,Exoarchive,Transit
KOI-142,3.6980076911002984,8.581044876088411,10.95416000,0.88,0.96,0.04,Transit,Exoarchive,Mixed
KOI-142,,198.9531145344943,22.33950000,0.88,0.96,0.04,Transit Timing Variations,Exoarchive,Mixed
KOI-1599,1.8654638204363523,4.598804420629604,20.44150000,0.97,1.02,,Transit,Exoarchive,Transit
KOI-1599,1.8654638204363523,9.000562625586069,13.60880000,0.97,1.02,,Transit,Exoarchive,Transit
KOI-217,12.1803814157903,,3.90512000,0.86,0.95,0.05,Transit,Exoarchive,Transit
KOI-351,1.2838780411238426,,7.00815100,1.20,1.20,0.10,Transit,Exoarchive,Transit
KOI-351,1.1631715586250195,,8.71937500,1.20,1.20,0.10,Transit,Exoarchive,Transit
KOI-351,2.8091690472453306,,59.73667000,1.20,1.20,0.10,Transit,Exoarchive,Transit
KOI-351,2.600676032020091,,91.93913000,1.20,1.20,0.10,Transit,Exoarchive,Transit
KOI-351,2.8201423638361325,,124.91440000,1.20,1.20,0.10,Transit,Exoarchive,Transit
KOI-351,7.933707895149898,,210.60697000,1.20,1.20,0.10,Transit,Exoarchive,Transit
KOI-351,11.061103123528488,,331.60059000,1.20,1.20,0.10,Transit,Exoarchive,Transit
KOI-3680,10.86358342489405,613.3858004018754,141.24167100,0.96,1.01,0.07,Transit,Exoarchive,Transit
KOI-55,0.7461855281745409,0.4449430676490288,0.24010400,0.20,0.50,0.00,Orbital Brightness Modulation,Exoarchive,Orbital Brightness Modulation
KOI-55,0.8449453774917596,0.6674146014735431,0.34288700,0.20,0.50,0.00,Orbital Brightness Modulation,Exoarchive,Orbital Brightness Modulation
KOI-94,1.678917438392717,10.487943737441393,3.74320800,1.52,1.28,0.05,Transit,Exoarchive,Transit
KOI-94,4.2247268874587975,15.573007367716007,10.42364800,1.52,1.28,0.05,Transit,Exoarchive,Transit
KOI-94,11.02818317375608,106.15070328198259,22.34298900,1.52,1.28,0.05,Transit,Exoarchive,Transit
KOI-94,6.419390205619212,34.959812458137975,54.32031000,1.52,1.28,0.05,Transit,Exoarchive,Transit
KPS-1,11.302516088526135,346.41995981245816,1.70629100,0.91,0.89,0.09,Transit,Exoarchive,Transit
Kapteyn,,6.991962491627595,121.54000000,0.29,0.28,0.01,Radial Velocity,Exoarchive,Radial Velocity
Kepler-10,1.4484777899858734,4.608338914936369,0.83749100,1.06,0.91,0.02,Transit,Exoarchive,Transit
Kepler-10,,7.370164099129268,45.29460000,1.06,0.91,0.02,Transit,Exoarchive,Transit
Kepler-100,1.2948513577146445,7.309778968519758,6.88705000,1.49,1.08,0.06,Transit,Exoarchive,Transit
Kepler-100,2.150770051797206,7.049169457468184,12.81590000,1.49,1.08,0.06,Transit,Exoarchive,Transit
Kepler-100,1.5801575890754984,3.0001875418620227,35.33310000,1.49,1.08,0.06,Transit,Exoarchive,Transit
Kepler-1000,4.6636595510908805,,120.01812720,1.51,1.40,0.04,Transit,Exoarchive,Transit
Kepler-1001,3.083501962015383,,14.30511983,0.88,0.90,0.04,Transit,Exoarchive,Transit
Kepler-1002,1.678917438392717,,4.33642933,1.57,1.22,0.05,Transit,Exoarchive,Transit
Kepler-1003,1.7447573379375294,,3.55485691,1.17,1.11,0.13,Transit,Exoarchive,Transit
Kepler-1004,6.145057290849161,,5.28789787,3.39,1.11,0.18,Transit,Exoarchive,Transit
Kepler-1005,1.4704244231674777,,6.49801525,1.06,1.00,0.04,Transit,Exoarchive,Transit
Kepler-1006,1.5033443729398839,,19.76172042,0.74,0.78,0.07,Transit,Exoarchive,Transit
Kepler-1007,1.4045845236226653,,5.18500207,0.70,0.73,0.03,Transit,Exoarchive,Transit
Kepler-1008,1.2509580913514362,,12.43931193,0.78,0.81,0.03,Transit,Exoarchive,Transit
Kepler-1009,2.128823418615602,,11.35011917,0.57,0.59,0.02,Transit,Exoarchive,Transit
Kepler-101,5.596391461309056,50.850636302746146,3.48768120,1.56,1.17,0.07,Transit,Exoarchive,Transit
Kepler-101,1.2290114581698321,3.178164768921634,6.02976000,1.56,1.17,0.07,Transit,Exoarchive,Transit
Kepler-1010,2.271476534296029,,34.26857050,0.82,0.86,0.04,Transit,Exoarchive,Transit
Kepler-1011,2.8091690472453306,,5.75322197,0.88,0.91,0.04,Transit,Exoarchive,Transit
Kepler-1012,1.2619314079422383,,5.50860439,0.91,0.95,0.03,Transit,Exoarchive,Transit
Kepler-1013,2.1068767854339976,,18.93054959,0.76,0.81,0.04,Transit,Exoarchive,Transit
Kepler-1014,2.3373164338408414,,16.57110363,0.84,0.88,0.04,Transit,Exoarchive,Transit
Kepler-1015,3.478541359284257,,16.00494214,1.81,1.49,0.22,Transit,Exoarchive,Transit
Kepler-1016,2.128823418615602,,1.95452434,1.00,0.99,0.08,Transit,Exoarchive,Transit
Kepler-1016,3.5992478417830798,,105.65513690,1.00,0.99,0.08,Transit,Exoarchive,Transit
Kepler-1017,1.9532503531627687,,7.23400469,0.87,0.93,0.04,Transit,Exoarchive,Transit
Kepler-1018,2.5238628158844767,,49.10135140,0.88,0.91,0.04,Transit,Exoarchive,Transit
Kepler-1019,1.4265311568042693,,1.41122985,0.67,0.70,0.03,Transit,Exoarchive,Transit
Kepler-102,0.460879296813687,4.300056932350971,5.28696000,0.76,0.81,0.04,Transit,Exoarchive,Transit
Kepler-102,0.5706124627217077,3.0001875418620227,7.07142000,0.76,0.81,0.04,Transit,Exoarchive,Transit
Kepler-102,1.1521982420342176,3.8137977227059614,10.31170000,0.76,0.81,0.04,Transit,Exoarchive,Transit
Kepler-102,2.1727166849788104,8.898861352980576,16.14570000,0.76,0.81,0.04,Transit,Exoarchive,Transit
Kepler-102,0.8668920106733636,5.199477561955794,27.45360000,0.76,0.81,0.04,Transit,Exoarchive,Transit
Kepler-1020,2.227583267932821,,96.91514960,0.80,0.87,0.03,Transit,Exoarchive,Transit
Kepler-1021,2.282449850886831,,13.47469571,0.86,0.89,0.05,Transit,Exoarchive,Transit
Kepler-1022,2.315369800659237,,10.99469878,0.68,0.71,0.03,Transit,Exoarchive,Transit
Kepler-1023,2.5787293988384867,,62.13877140,0.89,0.93,0.04,Transit,Exoarchive,Transit
Kepler-1024,3.829687490189923,,66.41621330,0.78,0.81,0.04,Transit,Exoarchive,Transit
Kepler-1025,1.9422770365719668,,37.32294930,1.13,1.09,0.08,Transit,Exoarchive,Transit
Kepler-1026,2.161743368388008,,36.51560530,0.75,0.79,0.04,Transit,Exoarchive,Transit
Kepler-1027,0.8668920106733636,,1.90780520,0.82,0.91,0.03,Transit,Exoarchive,Transit
Kepler-1028,1.3058246743054465,,2.51462432,0.87,0.90,0.05,Transit,Exoarchive,Transit
Kepler-1029,1.2290114581698321,,4.41769648,0.77,0.82,0.04,Transit,Exoarchive,Transit
Kepler-103,3.3029682938314235,9.852310783657066,15.96540000,1.44,1.09,0.07,Transit,Exoarchive,Transit
Kepler-103,5.036752315178151,36.23107836570663,179.61200000,1.44,1.09,0.07,Transit,Exoarchive,Transit
Kepler-1030,2.425102966567258,,19.32952416,0.76,0.80,0.04,Transit,Exoarchive,Transit
Kepler-1031,0.8559186940825616,,1.22621732,1.12,1.09,0.10,Transit,Exoarchive,Transit
Kepler-1032,1.832543870663946,,3.29011795,0.71,0.77,0.03,Transit,Exoarchive,Transit
Kepler-1033,2.4580229163396643,,7.56052806,0.92,0.94,0.04,Transit,Exoarchive,Transit
Kepler-1034,2.2166099513420185,,12.12400943,0.80,0.83,0.04,Transit,Exoarchive,Transit
Kepler-1035,1.1412249254434155,,2.71407755,0.97,0.98,0.06,Transit,Exoarchive,Transit
Kepler-1036,2.9518221629257573,,122.88080580,0.89,0.95,0.03,Transit,Exoarchive,Transit
Kepler-1037,1.2509580913514362,,1.06378867,0.78,0.82,0.04,Transit,Exoarchive,Transit
Kepler-1038,3.4565947261026526,,148.46033820,0.83,0.87,0.07,Transit,Exoarchive,Transit
Kepler-1039,1.4265311568042693,,0.93488424,0.74,0.79,0.05,Transit,Exoarchive,Transit
Kepler-104,3.039608695652174,,11.42754800,1.35,,,Transit,Exoarchive,Transit
Kepler-104,3.0615553288337782,,23.66820500,1.35,,,Transit,Exoarchive,Transit
Kepler-104,3.5004879924658607,,51.75539400,1.35,,,Transit,Exoarchive,Transit
Kepler-1040,2.041036885889185,,201.12140000,0.96,0.98,0.04,Transit,Exoarchive,Transit
Kepler-1041,2.875008946790143,,24.75764210,1.08,1.06,0.07,Transit,Exoarchive,Transit
Kepler-1042,2.1397967352064042,,10.13202575,0.72,0.75,0.04,Transit,Exoarchive,Transit
Kepler-1043,2.4909428661120705,,38.50533980,0.90,0.92,0.05,Transit,Exoarchive,Transit
Kepler-1044,2.611649348610893,,6.77408868,1.11,1.08,0.08,Transit,Exoarchive,Transit
Kepler-1045,2.633595981792497,,26.41045478,0.82,0.86,0.04,Transit,Exoarchive,Transit
Kepler-1046,1.678917438392717,,14.37508035,1.04,1.04,0.04,Transit,Exoarchive,Transit
Kepler-1047,2.041036885889185,,56.18868870,1.13,1.08,0.05,Transit,Exoarchive,Transit
Kepler-1047,0.9656518599905823,,3.18897601,1.13,1.08,0.05,Transit,Exoarchive,Transit
Kepler-1048,1.5801575890754984,,6.92101021,0.70,0.75,0.03,Transit,Exoarchive,Transit
Kepler-1049,0.9327319102181761,,3.27346074,0.49,0.51,0.03,Transit,Exoarchive,Transit
Kepler-105,4.707552817454089,,5.41220000,0.89,0.96,0.05,Transit,Exoarchive,Transit
Kepler-105,1.2838780411238426,4.598804420629604,7.12620000,0.89,0.96,0.05,Transit,Exoarchive,Transit
Kepler-1050,1.5691842724846963,,15.37875460,1.13,1.09,0.08,Transit,Exoarchive,Transit
Kepler-1050,1.4484777899858734,,21.12845690,1.13,1.09,0.08,Transit,Exoarchive,Transit
Kepler-1051,3.324914927013028,,25.96200249,1.73,1.43,0.22,Transit,Exoarchive,Transit
Kepler-1052,2.8640356301993406,,34.85382760,1.03,1.03,0.08,Transit,Exoarchive,Transit
Kepler-1053,0.9546785433997802,,2.41435165,0.69,0.74,0.03,Transit,Exoarchive,Transit
Kepler-1054,2.5787293988384867,,4.30655689,1.34,1.22,0.18,Transit,Exoarchive,Transit
Kepler-1055,1.2070648249882279,,2.29503623,0.94,0.98,0.03,Transit,Exoarchive,Transit
Kepler-1056,2.9518221629257573,,27.49560600,1.20,1.12,0.20,Transit,Exoarchive,Transit
Kepler-1057,3.2919949772406216,,14.08827448,1.10,1.07,0.15,Transit,Exoarchive,Transit
Kepler-1058,2.6665159315649034,,110.96546000,0.69,0.73,0.04,Transit,Exoarchive,Transit
Kepler-1059,1.6898907549835191,,3.76419105,0.72,0.75,0.04,Transit,Exoarchive,Transit
Kepler-106,0.8010521111285512,5.301178834561285,6.16486000,1.04,1.00,0.06,Transit,Exoarchive,Transit
Kepler-106,2.447049599748862,10.487943737441393,13.57080000,1.04,1.00,0.06,Transit,Exoarchive,Transit
Kepler-106,0.9327319102181761,8.101141995981244,23.98020000,1.04,1.00,0.06,Transit,Exoarchive,Transit
Kepler-106,2.5019161827028724,11.12357669122572,43.84450000,1.04,1.00,0.06,Transit,Exoarchive,Transit
Kepler-1060,2.326343117250039,,46.87793670,0.99,0.99,0.08,Transit,Exoarchive,Transit
Kepler-1061,1.9422770365719668,,2.75798267,1.07,1.09,0.04,Transit,Exoarchive,Transit
Kepler-1062,1.7228107047559253,,9.30412078,0.70,0.75,0.03,Transit,Exoarchive,Transit
Kepler-1063,1.4594511065766755,,14.07971466,1.14,1.09,0.11,Transit,Exoarchive,Transit
Kepler-1064,1.514317689530686,,16.54080322,0.79,0.85,0.03,Transit,Exoarchive,Transit
Kepler-1065,3.65411442473709,,3.60930891,0.93,0.94,0.07,Transit,Exoarchive,Transit
Kepler-1065,1.5691842724846963,,2.37030743,0.93,0.94,0.07,Transit,Exoarchive,Transit
Kepler-1066,2.315369800659237,,1.93155984,0.98,0.98,0.11,Transit,Exoarchive,Transit
Kepler-1067,0.7791054779469471,,0.76212926,0.93,0.95,0.04,Transit,Exoarchive,Transit
Kepler-1068,3.555354575419871,,16.92344113,1.01,1.01,0.07,Transit,Exoarchive,Transit
Kepler-1069,1.5691842724846963,,23.89902960,0.98,0.99,0.05,Transit,Exoarchive,Transit
Kepler-107,1.5033443729398839,3.5086939048894843,3.18002180,1.45,1.24,0.03,Transit,Exoarchive,Transit
Kepler-107,1.5582109558938941,9.388298727394506,4.90145200,1.45,1.24,0.03,Transit,Exoarchive,Transit
Kepler-107,0.8449453774917596,3.8010850636302744,7.95839000,1.45,1.24,0.03,Transit,Exoarchive,Transit
Kepler-107,2.8420889970177368,8.600113864701942,14.74914300,1.45,1.24,0.03,Transit,Exoarchive,Transit
Kepler-1070,1.6898907549835191,,6.22161470,1.32,1.21,0.20,Transit,Exoarchive,Transit
Kepler-1071,2.326343117250039,,6.17998440,0.81,0.86,0.03,Transit,Exoarchive,Transit
Kepler-1072,1.5472376393030918,,1.56906650,1.32,1.20,0.19,Transit,Exoarchive,Transit
Kepler-1073,2.2495299011144247,,8.67888593,1.00,1.00,0.10,Transit,Exoarchive,Transit
Kepler-1073,1.6021042222571025,,4.02582254,1.00,1.00,0.10,Transit,Exoarchive,Transit
Kepler-1074,1.2290114581698321,,5.94566534,0.57,0.60,0.02,Transit,Exoarchive,Transit
Kepler-1075,1.3936112070318631,,1.52372816,0.54,0.56,0.03,Transit,Exoarchive,Transit
Kepler-1076,0.7791054779469471,,6.14727918,0.74,0.79,0.03,Transit,Exoarchive,Transit
Kepler-1077,2.710409197928112,,34.35118740,1.02,1.02,0.06,Transit,Exoarchive,Transit
Kepler-1078,1.8654638204363523,,3.00725242,0.92,0.94,0.05,Transit,Exoarchive,Transit
Kepler-1079,1.5911309056663003,,13.24503188,1.36,1.08,0.12,Transit,Exoarchive,Transit
Kepler-108,8.4714004080992,,49.18392100,2.19,,,Transit,Exoarchive,Transit
Kepler-108,8.010521111285513,,190.32349400,2.19,,,Transit,Exoarchive,Transit
Kepler-1080,3.215181761105007,,77.25483960,1.16,1.10,0.10,Transit,Exoarchive,Transit
Kepler-1081,0.9875984931721865,,3.85691855,0.84,0.88,0.04,Transit,Exoarchive,Transit
Kepler-1082,1.0973316590802071,,1.54320660,1.14,1.03,0.06,Transit,Exoarchive,Transit
Kepler-1083,3.2919949772406216,,33.41779930,0.77,0.81,0.04,Transit,Exoarchive,Transit
Kepler-1084,1.0863583424894052,,2.05333679,1.28,1.12,0.07,Transit,Exoarchive,Transit
Kepler-1085,7.066815884476534,,219.32175280,1.14,1.11,0.09,Transit,Exoarchive,Transit
Kepler-1086,2.3921830167948515,,18.78425728,0.66,0.70,0.02,Transit,Exoarchive,Transit
Kepler-1086,2.875008946790143,,161.51633450,0.66,0.70,0.02,Transit,Exoarchive,Transit
Kepler-1087,0.5925590959033119,,0.69384285,0.94,0.96,0.07,Transit,Exoarchive,Transit
Kepler-1088,1.3936112070318631,,23.12748644,1.08,1.08,0.03,Transit,Exoarchive,Transit
Kepler-1089,1.7886506043007377,,5.13248562,0.49,0.52,0.03,Transit,Exoarchive,Transit
Kepler-109,2.315369800659237,7.300244474212994,6.48163000,1.32,1.04,0.06,Transit,Exoarchive,Transit
Kepler-109,2.468996232930466,21.799032150033486,21.22270000,1.32,1.04,0.06,Transit,Exoarchive,Transit
Kepler-1090,2.2056366347512166,,198.68017900,0.82,0.86,0.05,Transit,Exoarchive,Transit
Kepler-1091,1.4265311568042693,,1.43474156,1.03,1.01,0.12,Transit,Exoarchive,Transit
Kepler-1092,2.0300635692983833,,58.60179250,1.00,0.99,0.09,Transit,Exoarchive,Transit
Kepler-1093,1.9093570867995604,,25.08246260,1.20,1.13,0.14,Transit,Exoarchive,Transit
Kepler-1093,1.9203304033903625,,89.72229200,1.20,1.13,0.14,Transit,Exoarchive,Transit
Kepler-1094,3.1164219117877883,,78.10002310,1.21,1.14,0.16,Transit,Exoarchive,Transit
Kepler-1095,1.1851181918066238,,4.27103091,0.92,0.94,0.07,Transit,Exoarchive,Transit
Kepler-1096,1.21803814157903,,2.89221751,0.63,0.66,0.03,Transit,Exoarchive,Transit
Kepler-1097,3.193235127923403,,187.74702900,0.79,0.82,0.04,Transit,Exoarchive,Transit
Kepler-1098,1.2729047245330403,,2.54307286,0.99,0.99,0.10,Transit,Exoarchive,Transit
Kepler-1099,2.765275780882122,,2.16845259,1.00,1.01,0.05,Transit,Exoarchive,Transit
Kepler-11,1.7667039711191335,1.9068988613529807,10.30390000,1.06,0.96,0.03,Transit,Exoarchive,Transit
Kepler-11,2.8091690472453306,2.8603482920294705,13.02410000,1.06,0.96,0.03,Transit,Exoarchive,Transit
Kepler-11,3.050582012242976,7.309778968519758,22.68450000,1.06,0.96,0.03,Transit,Exoarchive,Transit
Kepler-11,4.104020404959975,7.9454119223040856,31.99960000,1.06,0.96,0.03,Transit,Exoarchive,Transit
Kepler-11,2.43607628315806,1.9068988613529807,46.68880000,1.06,0.96,0.03,Transit,Exoarchive,Transit
Kepler-11,3.2590750274682154,25.10750167448091,118.38070000,1.06,0.96,0.03,Transit,Exoarchive,Transit
Kepler-110,1.7886506043007377,,12.69111200,1.15,,,Transit,Exoarchive,Transit
Kepler-110,2.161743368388008,,31.71977500,1.15,,,Transit,Exoarchive,Transit
Kepler-1100,1.7118373881651232,,6.42200058,1.34,1.21,0.20,Transit,Exoarchive,Transit
Kepler-1101,2.4141296499764557,,81.31510590,0.91,0.94,0.06,Transit,Exoarchive,Transit
Kepler-1102,2.600676032020091,,51.32856230,0.94,0.96,0.05,Transit,Exoarchive,Transit
Kepler-1103,2.227583267932821,,19.79191978,1.15,1.11,0.10,Transit,Exoarchive,Transit
Kepler-1104,1.2070648249882279,,5.03728015,1.41,1.30,0.06,Transit,Exoarchive,Transit
Kepler-1105,1.9642236697535709,,4.42157218,0.68,0.71,0.02,Transit,Exoarchive,Transit
Kepler-1106,1.6130775388479046,,1.25275217,1.17,1.11,0.14,Transit,Exoarchive,Transit
Kepler-1107,1.3167979908962486,,0.57103852,0.82,0.86,0.04,Transit,Exoarchive,Transit
Kepler-1108,1.4265311568042693,,4.51005748,0.84,0.88,0.05,Transit,Exoarchive,Transit
Kepler-1109,2.1397967352064042,,37.64673840,1.06,1.05,0.07,Transit,Exoarchive,Transit
Kepler-111,1.5472376393030918,,3.34181500,1.16,,,Transit,Exoarchive,Transit
Kepler-111,7.143629100612149,,224.78460800,1.16,,,Transit,Exoarchive,Transit
Kepler-1110,2.600676032020091,,9.69312032,0.70,0.73,0.05,Transit,Exoarchive,Transit
Kepler-1111,1.9532503531627687,,8.79617863,1.15,1.10,0.13,Transit,Exoarchive,Transit
Kepler-1112,2.9518221629257573,,14.36267939,1.54,1.34,0.21,Transit,Exoarchive,Transit
Kepler-1113,2.75430246429132,,42.30049540,1.17,1.12,0.13,Transit,Exoarchive,Transit
Kepler-1114,1.3167979908962486,,14.97435694,0.83,0.87,0.04,Transit,Exoarchive,Transit
Kepler-1115,1.6679441218019149,,23.55407250,1.73,1.60,0.10,Transit,Exoarchive,Transit
Kepler-1116,2.4909428661120705,,41.69778270,0.93,0.95,0.05,Transit,Exoarchive,Transit
Kepler-1117,1.0863583424894052,,4.79028459,0.93,0.95,0.04,Transit,Exoarchive,Transit
Kepler-1118,2.6774892481557053,,38.67150750,0.97,0.96,0.11,Transit,Exoarchive,Transit
Kepler-1119,1.8764371370271542,,8.32651530,1.17,1.11,0.14,Transit,Exoarchive,Transit
Kepler-112,2.315369800659237,,8.40887800,0.84,,,Transit,Exoarchive,Transit
Kepler-112,2.3482897504316433,,28.57426300,0.84,,,Transit,Exoarchive,Transit
Kepler-1120,1.3497179406686548,,2.94902905,0.74,0.78,0.04,Transit,Exoarchive,Transit
Kepler-1121,1.8654638204363523,,13.15141081,1.59,1.29,0.13,Transit,Exoarchive,Transit
Kepler-1122,1.997143619525977,,42.19173570,0.89,0.92,0.04,Transit,Exoarchive,Transit
Kepler-1123,1.6350241720295087,,4.33946454,0.90,0.93,0.04,Transit,Exoarchive,Transit
Kepler-1124,1.2509580913514362,,2.85234897,0.34,0.35,0.02,Transit,Exoarchive,Transit
Kepler-1125,1.7996239208915399,,17.67006420,0.94,0.95,0.08,Transit,Exoarchive,Transit
