pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,ttv_flag,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
Kepler-1515 b,Kepler-1515,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,214.31141640,0.00012750,-0.00012750,0,10.49,0.26,-0.640,0,0.936,0.023,-0.057,0,,,,,,,,,,,,,,0,0.06215,0.00010,-0.00005,0,,,,,Berger et al. 2020,,6310.4,-134.6,-81.34,0,1.552,-0.038,-0.10,0,1.269,-0.06,-0.05,0,-0.03,-0.15,-0.109,0,[Fe/H],,,,,4.15,-0.0,-0.06,0,1.820,0.535,-0.440,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h23m53.74s,290.9739057,+48d10m41.54s,48.1782059,539.3210000,6.5255000,-6.5255000,1.8255500,0.0222644,-0.0222644,12.1000000,0.0290000,-0.0290000,10.8860000,0.0230000,-0.0230000,11.9975000,0.0002050,-0.0002050,2016-05-06 09:23:03,2016-05,2016-05-10
Kepler-1516 b,Kepler-1516,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,7.25931979,0.00003612,-0.00003612,0,2.69,0.14,-0.190,0,0.24,0.012,-0.017,0,,,,,,,,,,,,,,0,0.01490,0.00052,-0.00032,0,,,,,Berger et al. 2020,,5811.7,-116.4,-142.16,0,1.691,-0.064,-0.12,0,1.113,-0.07,-0.06,0,0.033,-0.16,-0.166,0,[Fe/H],,,,,4.02,-0.0,-0.15,0,4.070,2.150,-2.250,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h25m58.70s,291.4945795,+44d31m24.32s,44.5234227,1358.9500000,42.3700000,-42.3700000,0.7073170,0.0227569,-0.0227569,14.6500000,0.0800000,-0.0800000,12.8150000,0.0210000,-0.0210000,14.4469000,0.0002660,-0.0002660,2016-05-06 09:23:04,2016-05,2016-05-10
Kepler-1517 b,Kepler-1517,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,5.54608367,0.00000709,-0.00000709,0,10.54,1.33,-1.930,0,0.94,0.119,-0.172,0,,,,,,,,,,,,,,0,0.04592,0.00414,-0.00264,0,,,,,Berger et al. 2020,,6994.7,-146.9,-113.20,0,1.911,-0.049,-0.37,0,1.556,-0.07,-0.15,0,0.056,-0.14,-0.152,0,[Fe/H],,,,,4.06,-0.0,-0.16,0,1.380,0.260,-0.190,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h11m13.73s,287.8072115,+43d11m19.68s,43.1888008,847.2990000,14.2685000,-14.2685000,1.1515600,0.0197213,-0.0197213,12.2280000,0.0310000,-0.0310000,11.3030000,0.0140000,-0.0140000,12.1739000,0.0002070,-0.0002070,2016-05-06 09:23:06,2016-05,2016-05-10
Kepler-1518 b,Kepler-1518,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,5.11177904,0.00005083,-0.00005083,0,3.050,0.920,-0.630,0,0.272,0.082,-0.056,0,,,,,,,,,,,,,,0,0.01531,0.00114,-0.00063,0,,,,,Berger et al. 2020,,7012.3,-150.4,-290.12,0,1.478,-0.036,-0.38,0,1.352,-0.05,-0.18,0,-0.163,-0.14,-0.165,0,[Fe/H],,,,,4.22,-0.0,-0.19,0,1.480,0.512,-0.270,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h01m19.76s,300.3323404,+44d59m09.98s,44.9861065,903.5100000,11.9680000,-11.9680000,1.0780800,0.0145477,-0.0145477,13.3740000,0.0800000,-0.0800000,12.0580000,0.0230000,-0.0230000,13.2803000,0.0002390,-0.0002390,2016-05-06 09:23:06,2016-05,2016-05-10
Kepler-1519 b,Kepler-1519,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,240.79893970,0.00061170,-0.00061170,0,11.38,0.49,-0.540,0,1.015,0.044,-0.048,0,,,,,,,,,,,,,,0,0.07061,0.00053,-0.00115,0,,,,,Berger et al. 2020,,5628.6,-111.4,-112.71,0,1.528,-0.059,-0.07,0,0.939,-0.05,-0.06,0,-0.173,-0.15,-0.181,0,[Fe/H],,,,,4.03,-0.0,-0.10,0,3.980,4.280,-2.310,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h46m40.31s,296.6679448,+49d27m42.40s,49.4617774,1441.6300000,44.5800000,-44.5800000,0.6651480,0.0212776,-0.0212776,15.1240000,0.3430000,-0.3430000,13.1890000,0.0350000,-0.0350000,14.8034000,0.0003460,-0.0003460,2016-05-06 09:23:07,2016-05,2016-05-10
Kepler-152 b,Kepler-152,1,1,2,Transit,2014,Kepler,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,18.20797300,0.00002300,-0.00002300,0,2.790,0.170,-0.170,0,0.249,0.015,-0.015,0,,,,,,,,,,,,,,0,,,,,,,,,Berger et al. 2020,,5083.4,-85.3,-100.00,0,0.754,-0.014,-0.04,0,0.775,-0.04,,0,-0.165,-0.11,,0,[Fe/H],,,,,4.57,-0.0,-0.15,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h07m27.69s,286.8653826,+41d59m20.25s,41.9889571,441.0900000,3.1370000,-3.1370000,2.2382800,0.0160041,-0.0160041,14.3790000,0.1030000,-0.1030000,12.3010000,0.0200000,-0.0200000,14.2437000,0.0002780,-0.0002780,2014-05-14,2014-03,2014-05-14
Kepler-152 c,Kepler-152,1,1,2,Transit,2014,Kepler,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,88.25505500,0.00030900,-0.00030900,0,2.390,0.160,-0.160,0,0.213,0.014,-0.014,0,,,,,,,,,,,,,,0,,,,,,,,,Berger et al. 2020,,5083.4,-85.3,-100.00,0,0.754,-0.014,-0.04,0,0.775,-0.04,,0,-0.165,-0.11,,0,[Fe/H],,,,,4.57,-0.0,-0.15,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h07m27.69s,286.8653826,+41d59m20.25s,41.9889571,441.0900000,3.1370000,-3.1370000,2.2382800,0.0160041,-0.0160041,14.3790000,0.1030000,-0.1030000,12.3010000,0.0200000,-0.0200000,14.2437000,0.0002780,-0.0002780,2014-05-14,2014-03,2014-05-14
Kepler-1520 b,Kepler-1520,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,0.65355357,0.00000016,-0.00000016,0,24.12,5.63,-0.300,0,2.152,0.502,-0.027,0,,,,,,,,,,,,,,0,0.07387,0.00087,-0.00268,0,,,,,Berger et al. 2020,,4622.2,-78.1,-71.28,0,0.694,-0.017,-0.03,0,0.712,-0.03,-0.04,0,-0.039,-0.11,-0.152,0,[Fe/H],,,,,4.60,-0.0,-0.03,0,4.470,5.800,-2.530,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h23m51.89s,290.9662102,+51d30m17.16s,51.5047656,607.9170000,11.2515000,-11.2515000,1.6166600,0.0302055,-0.0302055,16.0020000,0.4690000,-0.4690000,13.3190000,0.0350000,-0.0350000,15.6932000,0.0006980,-0.0006980,2016-05-06 09:23:08,2016-05,2016-05-10
Kepler-1521 b,Kepler-1521,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,47.14840805,0.00007919,-0.00007919,0,2.52,0.18,-0.100,0,0.225,0.016,-0.009,0,,,,,,,,,,,,,,0,0.03043,0.00062,-0.00078,0,,,,,Berger et al. 2020,,4805.9,-72.7,-58.14,0,0.716,-0.014,-0.03,0,0.747,-0.03,-0.04,0,-0.074,-0.1,-0.107,0,[Fe/H],,,,,4.60,-0.0,-0.03,0,4.470,3.910,-2.470,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h30m45.69s,292.6903779,+37d50m06.20s,37.8350549,206.9830000,1.1190000,-1.1190000,4.8025700,0.0259171,-0.0259171,13.0490000,0.0920000,-0.0920000,10.8400000,0.0290000,-0.0290000,12.8476000,0.0005650,-0.0005650,2016-05-06 09:23:09,2016-05,2016-05-10
Kepler-1522 b,Kepler-1522,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,1.84788917,0.00000272,-0.00000272,0,2.00,0.06,-0.140,0,0.178,0.005,-0.012,0,,,,,,,,,,,,,,0,0.01675,0.00042,-0.00028,0,,,,,Berger et al. 2020,,5711.6,-105.7,-100.71,0,1.115,-0.027,-0.07,0,0.997,-0.06,-0.06,0,0.088,-0.15,-0.175,0,[Fe/H],,,,,4.33,-0.0,-0.11,0,3.890,3.930,-2.200,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h19m22.38s,289.8432347,+52d04m12.75s,52.0702094,814.1250000,11.0100000,-11.0100000,1.1995300,0.0164854,-0.0164854,14.3570000,0.1030000,-0.1030000,12.6210000,0.0240000,-0.0240000,14.1963000,0.0002430,-0.0002430,2016-05-06 09:23:10,2016-05,2016-05-10
