hostname,default_flag,sy_snum,sy_pnum,discoverymethod,rv_flag,soltype,pl_controv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
K2-32,0,2,4,Transit,1,Published Candidate,0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,4686.00,,,0,0.72,,,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2015-12-05,2016-01,2015-12-05
K2-32,0,2,4,Transit,1,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.76,0.04,-0.05,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2019-09-05,2019-09,2019-09-05
K2-32,0,2,4,Transit,1,Published Confirmed,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,5415.00,50.00,-50.00,0,0.84,0.03,-0.02,0,0.92,0.02,-0.03,0,0.030,0.080,-0.080,0,[Fe/H],4.73,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2019-06-03,2018-03,2018-02-15
K2-32,0,2,4,Transit,1,Published Confirmed,0,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...625A..31H/abstract target=ref>Heller et al. 2019</a>,,,,,,0.84,0.04,-0.04,0,0.86,0.03,-0.03,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2019-06-03,2019-05,2019-06-13
K2-32,1,2,4,Transit,1,Published Confirmed,0,<a refstr=LILLO_BOX_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A..48L/abstract target=ref>Lillo-Box et al. 2020</a>,,5271.00,39.00,-35.00,0,0.86,0.02,-0.02,0,0.83,0.02,-0.02,0,-0.060,0.030,-0.030,0,[Fe/H],4.49,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2021-05-17,2020-08,2021-05-17
K2-32,0,2,4,Transit,1,Published Confirmed,0,<a refstr=PETIGURA_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..142P/abstract target=ref>Petigura et al. 2017</a>,,5275.00,60.00,-60.00,0,0.84,0.04,-0.04,0,0.86,0.03,-0.03,0,-0.020,0.040,-0.040,0,[Fe/H],4.49,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2019-06-03,2017-04,2017-02-09
K2-32,0,2,4,Transit,1,Published Candidate,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5274.00,118.39,-102.71,0,0.85,0.05,-0.05,0,0.90,0.14,-0.09,0,-0.030,0.100,-0.100,0,[M/H],4.53,0.10,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2016-12-21,2016-10,2016-12-21
K2-32,0,2,4,Transit,1,Published Candidate,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,,5428.00,88.00,-88.00,0,0.92,0.07,-0.07,0,,,,,,,,,,4.45,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2016-07-18,2016-09,2016-07-18
K2-32,0,2,4,Transit,1,Published Confirmed,0,<a refstr=DAI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...823..115D/abstract target=ref>Dai et al. 2016</a>,,5315.00,60.00,-60.00,0,0.87,0.05,-0.05,0,0.87,0.04,-0.04,0,0.000,0.040,-0.040,0,[Fe/H],4.43,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2019-06-03,2016-06,2016-05-05
K2-32,0,2,4,Transit,1,Published Confirmed,0,<a refstr=PETIGURA_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..142P/abstract target=ref>Petigura et al. 2017</a>,,5275.00,60.00,-60.00,0,0.84,0.04,-0.04,0,0.86,0.03,-0.03,0,-0.020,0.040,-0.040,0,[Fe/H],4.49,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2019-06-03,2017-04,2017-02-09
K2-32,0,2,4,Transit,1,Published Confirmed,0,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...625A..31H/abstract target=ref>Heller et al. 2019</a>,,,,,,0.84,0.04,-0.04,0,0.86,0.03,-0.03,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2019-06-03,2019-05,2019-06-13
K2-32,0,2,4,Transit,1,Published Confirmed,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,5415.00,50.00,-50.00,0,0.84,0.03,-0.02,0,0.92,0.02,-0.03,0,0.030,0.080,-0.080,0,[Fe/H],4.73,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2019-06-03,2018-03,2018-02-15
K2-32,0,2,4,Transit,1,Published Confirmed,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,,5428.00,88.00,-88.00,0,0.92,0.07,-0.07,0,0.88,0.03,-0.03,0,,,,,,4.45,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2019-06-03,2016-09,2016-07-18
K2-32,0,2,4,Transit,1,Published Candidate,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,5415.00,50.00,-50.00,0,0.84,0.03,-0.02,0,,,,,0.030,0.080,-0.080,0,[Fe/H],4.73,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2018-02-15,2018-03,2018-02-15
K2-32,0,2,4,Transit,1,Published Candidate,0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,4686.00,,,0,0.72,,,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2015-12-05,2016-01,2015-12-05
K2-32,0,2,4,Transit,1,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.76,0.04,-0.05,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2019-09-05,2019-09,2019-09-05
K2-32,0,2,4,Transit,1,Published Confirmed,0,<a refstr=SINUKOFF_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...827...78S/abstract target=ref>Sinukoff et al. 2016</a>,G9 V,5315.00,60.00,-60.00,0,0.87,0.05,-0.05,0,0.87,0.04,-0.04,0,0.000,0.040,-0.040,0,[Fe/H],4.43,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2019-06-03,2016-08,2016-07-07
K2-32,1,2,4,Transit,1,Published Confirmed,0,<a refstr=LILLO_BOX_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A..48L/abstract target=ref>Lillo-Box et al. 2020</a>,,5271.00,39.00,-35.00,0,0.86,0.02,-0.02,0,0.83,0.02,-0.02,0,-0.060,0.030,-0.030,0,[Fe/H],4.49,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2021-05-17,2020-08,2021-05-17
K2-32,0,2,4,Transit,1,Published Confirmed,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,5415.00,50.00,-50.00,0,0.84,0.03,-0.02,0,0.92,0.02,-0.03,0,0.030,0.080,-0.080,0,[Fe/H],4.73,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2019-06-03,2018-03,2018-02-15
K2-32,0,2,4,Transit,1,Published Candidate,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,,5428.00,88.00,-88.00,0,0.92,0.07,-0.07,0,,,,,,,,,,4.45,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2016-07-18,2016-09,2016-07-18
K2-32,1,2,4,Transit,1,Published Confirmed,0,<a refstr=LILLO_BOX_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A..48L/abstract target=ref>Lillo-Box et al. 2020</a>,,5271.00,39.00,-35.00,0,0.86,0.02,-0.02,0,0.83,0.02,-0.02,0,-0.060,0.030,-0.030,0,[Fe/H],4.49,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2021-05-17,2020-08,2021-05-17
K2-32,0,2,4,Transit,1,Published Confirmed,0,<a refstr=PETIGURA_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..142P/abstract target=ref>Petigura et al. 2017</a>,,5275.00,60.00,-60.00,0,0.84,0.04,-0.04,0,0.86,0.03,-0.03,0,-0.020,0.040,-0.040,0,[Fe/H],4.49,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2019-06-03,2017-04,2017-02-09
K2-32,0,2,4,Transit,1,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.76,0.04,-0.05,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2019-09-05,2019-09,2019-09-05
K2-32,0,2,4,Transit,1,Published Confirmed,0,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...625A..31H/abstract target=ref>Heller et al. 2019</a>,,,,,,0.84,0.04,-0.04,0,0.86,0.03,-0.03,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2019-06-03,2019-05,2019-06-13
K2-32,0,2,4,Transit,1,Published Confirmed,0,<a refstr=SINUKOFF_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...827...78S/abstract target=ref>Sinukoff et al. 2016</a>,G9 V,5315.00,60.00,-60.00,0,0.87,0.05,-0.05,0,0.87,0.04,-0.04,0,0.000,0.040,-0.040,0,[Fe/H],4.43,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2019-06-03,2016-08,2016-07-07
K2-32,0,2,4,Transit,1,Published Candidate,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,5415.00,50.00,-50.00,0,0.84,0.03,-0.02,0,,,,,0.030,0.080,-0.080,0,[Fe/H],4.73,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2018-02-15,2018-03,2018-02-15
K2-32,0,2,4,Transit,1,Published Confirmed,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,,5428.00,88.00,-88.00,0,0.92,0.07,-0.07,0,0.88,0.03,-0.03,0,,,,,,4.45,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2019-06-03,2016-09,2016-07-18
K2-32,0,2,4,Transit,1,Published Confirmed,0,<a refstr=DAI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...823..115D/abstract target=ref>Dai et al. 2016</a>,,5315.00,60.00,-60.00,0,0.87,0.05,-0.05,0,0.87,0.04,-0.04,0,0.000,0.040,-0.040,0,[Fe/H],4.43,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2019-06-03,2016-06,2016-05-05
K2-32,0,2,4,Transit,1,Published Candidate,0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,4686.00,,,0,0.72,,,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2015-12-05,2016-01,2015-12-05
K2-32,0,2,4,Transit,1,Published Confirmed,0,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...625A..31H/abstract target=ref>Heller et al. 2019</a>,,,,,,0.84,0.04,-0.04,0,0.86,0.03,-0.03,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2019-06-03,2019-05,2019-06-13
K2-32,0,2,4,Transit,1,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.76,0.04,-0.05,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2019-09-05,2019-09,2019-09-05
K2-32,1,2,4,Transit,1,Published Confirmed,0,<a refstr=LILLO_BOX_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A..48L/abstract target=ref>Lillo-Box et al. 2020</a>,,5271.00,39.00,-35.00,0,0.86,0.02,-0.02,0,0.83,0.02,-0.02,0,-0.060,0.030,-0.030,0,[Fe/H],4.49,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2021-05-17,2020-08,2021-05-17
KOI-142,0,1,3,Transit,1,Published Confirmed,0,<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>,,5466.00,109.00,-109.00,0,0.91,0.04,-0.04,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h24m35.54s,291.1481028,+40d40m09.89s,40.6694130,13.2090000,0.1260000,-0.1260000,11.4540000,0.0190000,-0.0190000,13.1048000,0.0002750,-0.0002750,2020-05-28,2018-10,2018-09-06
KOI-142,0,1,3,Transit,1,Published Confirmed,0,<a refstr=NESVORNY_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...777....3N/abstract target=ref> Nesvorny et al. 2013 </a>,,5471.00,50.00,-50.00,0,0.88,0.03,-0.04,0,0.96,0.04,-0.05,0,0.200,0.080,-0.080,0,[Fe/H],4.53,0.03,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h24m35.54s,291.1481028,+40d40m09.89s,40.6694130,13.2090000,0.1260000,-0.1260000,11.4540000,0.0190000,-0.0190000,13.1048000,0.0002750,-0.0002750,2020-05-28,2013-11,2014-05-14
KOI-142,1,1,3,Transit,1,Published Confirmed,0,<a refstr=WEISS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..242W/abstract target=ref>Weiss et al. 2020</a>,,5466.00,60.00,-60.00,0,0.90,0.02,-0.02,0,0.99,0.02,-0.02,0,0.270,0.060,-0.060,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h24m35.54s,291.1481028,+40d40m09.89s,40.6694130,13.2090000,0.1260000,-0.1260000,11.4540000,0.0190000,-0.0190000,13.1048000,0.0002750,-0.0002750,2020-05-28,2020-05,2020-06-04
KOI-142,0,1,3,Transit,1,Kepler Project Candidate (q1_q12_koi),0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,,5575.00,82.00,-116.00,0,0.93,0.16,-0.04,0,1.05,0.05,-0.08,0,0.360,0.080,-0.150,0,[Fe/H],4.52,0.02,-0.15,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h24m35.54s,291.1481028,+40d40m09.89s,40.6694130,13.2090000,0.1260000,-0.1260000,11.4540000,0.0190000,-0.0190000,13.1048000,0.0002750,-0.0002750,2014-11-18,2014-12-04,2014-11-18
KOI-142,0,1,3,Transit,1,Kepler Project Candidate (q1_q8_koi),0,<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>,,5621.00,50.00,-50.00,0,1.00,0.04,-0.04,0,1.06,0.02,-0.02,0,,,,0,,4.47,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h24m35.54s,291.1481028,+40d40m09.89s,40.6694130,13.2090000,0.1260000,-0.1260000,11.4540000,0.0190000,-0.0190000,13.1048000,0.0002750,-0.0002750,2013-10-28,2014-01-08,2013-10-28
KOI-142,0,1,3,Transit,1,Kepler Project Candidate (q1_q17_dr25_sup_koi),0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5368.85,120.61,-165.30,0,0.96,0.06,-0.06,0,0.93,0.13,-0.11,0,0.258,0.019,-0.019,0,[M/H],4.45,0.09,-0.09,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h24m35.54s,291.1481028,+40d40m09.89s,40.6694130,13.2090000,0.1260000,-0.1260000,11.4540000,0.0190000,-0.0190000,13.1048000,0.0002750,-0.0002750,2018-09-25,2018-08-16,2018-09-25
KOI-142,0,1,3,Transit,1,Kepler Project Candidate (q1_q16_koi),0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,,5575.00,82.00,-116.00,0,0.93,0.16,-0.04,0,1.05,0.05,-0.08,0,0.360,0.080,-0.150,0,[Fe/H],4.52,0.02,-0.15,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h24m35.54s,291.1481028,+40d40m09.89s,40.6694130,13.2090000,0.1260000,-0.1260000,11.4540000,0.0190000,-0.0190000,13.1048000,0.0002750,-0.0002750,2014-11-21,2014-12-18,2014-11-21
