pl_name,hostname,gaia_id,sy_snum,sy_pnum,cb_flag,discoverymethod,disc_year,disc_refname,disc_facility,disc_telescope,disc_instrument,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,ttv_flag,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_kepmag,sy_kepmagerr1,sy_kepmagerr2,st_nphot,st_nrvc,st_refname,system_type
HAT-P-45 b,HAT-P-45,Gaia DR2 4270547520706275328,1,1,0,Transit,2014,<a refstr=HARTMAN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147..128H/abstract target=ref> Hartman et al. 2014 </a>,HATNet,Canon 200mm f/1.8L,2K CCD Sensor,0,3.12899200,0.00002100,-0.00002100,0,15.984,1.962,-0.975,0,1.426,0.175,-0.087,0,283.49200,43.54100,-31.46400,0,0.89200,0.13700,-0.09900,0,Mass,0.049000,0.063000,-0.063000,0,0,0.11100,0.00210,-0.00210,0,106.600,13.600,-13.600,0,,6330.00,100.00,-100.00,0,1.32,0.15,-0.07,0,1.26,0.06,-0.06,0,0.070,0.100,-0.100,0,[Fe/H],4.30,0.06,-0.06,0,18h17m29.58s,274.3732697,-03d22m51.81s,-3.3810594,298.6400000,6.0310000,-5.8010000,3.3218000,0.0657940,-0.0657940,12.7830000,0.0800000,-0.0800000,10.2010000,0.0230000,-0.0230000,12.3977000,0.0001910,-0.0001910,,,,0,0,,Transit
HAT-P-46 b,HAT-P-46,Gaia DR2 4177560894633502720,1,1,0,Transit,2014,<a refstr=HARTMAN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147..128H/abstract target=ref> Hartman et al. 2014 </a>,HATNet,Canon 200mm f/1.8L,2K CCD Sensor,0,4.46312900,0.00004800,-0.00004800,0,14.392,3.038,-1.491,0,1.284,0.271,-0.133,0,156.68400,26.06100,-16.52600,0,0.49300,0.08200,-0.05200,0,Mass,0.123000,0.120000,-0.120000,0,0,0.09420,0.00170,-0.00170,0,52.200,6.800,-6.800,0,,6120.00,100.00,-100.00,0,1.40,0.29,-0.14,0,1.28,0.10,-0.06,0,0.300,0.100,-0.100,0,[Fe/H],4.25,0.11,-0.11,0,18h01m46.60s,270.4441831,-02d58m15.53s,-2.9709800,290.7360000,5.1100000,-4.9400000,3.4123700,0.0589756,-0.0589756,11.9970000,0.0690000,-0.0690000,9.9240000,0.0230000,-0.0230000,11.6843000,0.0003890,-0.0003890,,,,0,0,,Transit
HAT-P-49 b,HAT-P-49,Gaia DR2 1835842749465226368,1,1,0,Transit,2014,<a refstr=BIERYLA_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147...84B/abstract target=ref> Bieryla et al. 2014 </a>,HATNet,Canon 200mm f/1.8L,2K CCD Sensor,0,2.69155000,0.00000600,-0.00000600,0,17.822,2.018,-2.018,0,1.590,0.180,-0.180,0,699.22600,187.51970,-187.51970,0,2.20000,0.59000,-0.59000,0,Mass,0.000000,,,0,0,0.07920,0.00190,-0.00190,0,188.700,21.900,-21.900,0,F,6820.00,52.00,-52.00,0,2.06,0.23,-0.23,0,2.22,0.83,-0.83,0,0.070,,,0,[Fe/H],4.10,0.04,-0.04,0,20h21m45.92s,305.4413294,+26d41m33.63s,26.6926759,350.3510000,3.5520000,-3.4820000,2.8257600,0.0284363,-0.0284363,10.2050000,0.0060000,-0.0060000,9.3460000,0.0170000,-0.0170000,10.2071000,0.0002340,-0.0002340,,,,0,2,,Transit
HAT-P-5 b,HAT-P-5,Gaia DR2 4606030169272920320,1,1,0,Transit,2007,<a refstr=BAKOS_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...671L.173B/abstract target=ref> Bakos et al. 2007 </a>,HATNet,Canon 200mm f/1.8L,2K CCD Sensor,0,2.78849000,0.00002500,-0.00002500,0,13.563,1.121,-1.121,0,1.210,0.100,-0.100,0,311.47340,63.56600,-63.56600,0,0.98000,0.20000,-0.20000,0,Mass,0.000000,,,0,0,0.11060,0.00060,-0.00060,0,138.000,14.000,-14.000,0,G,5960.00,100.00,-100.00,0,1.12,0.09,-0.09,0,1.04,0.29,-0.29,0,0.240,,,0,[Fe/H],4.37,0.03,-0.03,0,18h17m37.33s,274.4055335,+36d37m17.26s,36.6214617,303.3360000,1.8120000,-1.7910000,3.2678600,0.0194330,-0.0194330,11.9540000,0.0290000,-0.0290000,10.4810000,0.0180000,-0.0180000,11.8224000,0.0001880,-0.0001880,,,,16,1,,Transit
HAT-P-50 b,HAT-P-50,Gaia DR2 3151961363348862720,1,1,0,Transit,2015,<a refstr=HARTMAN_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....150..168H/abstract target=ref>Hartman et al. 2015</a>,HATNet,multiple telescopes,multiple instruments,0,3.12201090,0.00000650,-0.00000650,0,14.437,0.717,-0.717,0,1.288,0.064,-0.064,0,429.07050,23.20159,-23.20159,0,1.35000,0.07300,-0.07300,0,Mass,0.115000,,,1,0,0.07820,0.00120,-0.00120,0,161.300,5.600,-5.600,0,F5,6280.00,49.00,-49.00,0,1.70,0.07,-0.07,0,1.27,0.05,-0.12,0,-0.180,0.080,-0.080,0,[Fe/H],4.07,0.03,-0.03,0,07h52m15.23s,118.0634379,+12d08m21.65s,12.1393474,515.4580000,16.6960000,-15.6970000,1.9129300,0.0604476,-0.0604476,11.7030000,0.0570000,-0.0570000,10.5000000,0.0180000,-0.0180000,11.6722000,0.0006830,-0.0006830,,,,0,0,,Transit
HAT-P-51 b,HAT-P-51,Gaia DR2 316706322857704960,1,1,0,Transit,2015,<a refstr=HARTMAN_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....150..168H/abstract target=ref>Hartman et al. 2015</a>,HATNet,multiple telescopes,multiple instruments,0,4.21802780,0.00000590,-0.00000590,0,14.493,0.605,-0.605,0,1.293,0.054,-0.054,0,98.20947,5.72094,-5.72094,0,0.30900,0.01800,-0.01800,0,Mass,0.123000,,,1,0,0.12780,0.00200,-0.00200,0,39.500,2.200,-2.200,0,G7,5449.00,50.00,-50.00,0,1.04,0.04,-0.03,0,0.98,0.03,-0.03,0,0.270,0.080,-0.080,0,[Fe/H],4.39,0.03,-0.03,0,01h24m15.63s,21.0651251,+32d48m38.52s,32.8107000,440.0890000,8.1890000,-7.9010000,2.2439900,0.0412163,-0.0412163,13.5100000,0.1030000,-0.1030000,11.6140000,0.0200000,-0.0200000,13.2846000,0.0003020,-0.0003020,,,,0,0,,Transit
HAT-P-52 b,HAT-P-52,Gaia DR2 128623485853170432,1,1,0,Transit,2015,<a refstr=HARTMAN_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....150..168H/abstract target=ref>Hartman et al. 2015</a>,HATNet,multiple telescopes,multiple instruments,0,2.75359530,0.00000940,-0.00000940,0,11.310,0.807,-0.807,0,1.009,0.072,-0.072,0,259.98494,9.21707,-9.21707,0,0.81800,0.02900,-0.02900,0,Mass,0.047000,,,1,0,0.11610,0.00270,-0.00270,0,128.400,3.800,-3.800,0,K1,5131.00,50.00,-50.00,0,0.89,0.05,-0.05,0,0.89,0.03,-0.03,0,0.280,0.080,-0.080,0,[Fe/H],4.48,0.05,-0.05,0,02h50m53.22s,42.7217412,+29d01m20.10s,29.0222492,361.1550000,4.2875000,-4.2875000,2.7403300,0.0326217,-0.0326217,14.1070000,0.0800000,-0.0800000,11.6210000,0.0210000,-0.0210000,13.7870000,0.0004600,-0.0004600,,,,0,0,,Transit
HAT-P-53 b,HAT-P-53,Gaia DR2 323386882492982144,1,1,0,Transit,2015,<a refstr=HARTMAN_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....150..168H/abstract target=ref>Hartman et al. 2015</a>,HATNet,multiple telescopes,multiple instruments,0,1.96162410,0.00000390,-0.00000390,0,14.773,1.020,-1.020,0,1.318,0.091,-0.091,0,471.65972,17.79848,-17.79848,0,1.48400,0.05600,-0.05600,0,Mass,0.134000,,,1,0,0.11200,0.00190,-0.00190,0,226.800,6.000,-6.000,0,,5956.00,50.00,-50.00,0,1.21,0.08,-0.06,0,1.09,0.04,-0.04,0,0.000,0.080,-0.080,0,[Fe/H],4.31,0.04,-0.04,0,01h27m29.06s,21.8711012,+38d58m05.21s,38.9681137,666.8020000,15.2760000,-14.6190000,1.4711400,0.0333579,-0.0333579,13.7800000,0.1260000,-0.1260000,12.1000000,0.0190000,-0.0190000,13.5142000,0.0005170,-0.0005170,,,,0,0,,Transit
HAT-P-54 b,HAT-P-54,Gaia DR2 3383298227579280640,1,1,0,Transit,2015,<a refstr=BAKOS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....149..149B/abstract target=ref>Bakos et al. 2015</a>,HATNet,Canon 200mm f/1.8L,2K CCD Sensor,0,3.79984700,0.00001400,-0.00001400,0,10.581,0.314,-0.314,0,0.944,0.028,-0.028,0,241.55080,10.17056,-10.17056,0,0.76000,0.03200,-0.03200,0,Mass,0.074000,,,1,0,0.15720,0.00200,-0.00200,0,132.600,4.900,-4.900,0,K7,4390.00,50.00,-50.00,0,0.62,0.01,-0.01,0,0.65,0.02,-0.02,0,-0.127,0.080,-0.080,0,[Fe/H],4.67,0.01,-0.01,0,06h39m35.52s,99.8979924,+25d28m56.64s,25.4824005,143.6510000,0.5830000,-0.5790000,6.9325200,0.0279442,-0.0279442,13.3980000,0.0690000,-0.0690000,10.3260000,0.0190000,-0.0190000,13.0172000,0.0010350,-0.0010350,13.600,,,0,0,,Transit
HAT-P-55 b,HAT-P-55,Gaia DR2 4593808272896243328,1,1,0,Transit,2015,<a refstr=JUNCHER_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015PASP..127..851J/abstract target=ref>Juncher et al. 2015</a>,HATNet,Canon 200mm f/1.8L,2K CCD Sensor,0,3.58524670,0.00000640,-0.00000640,0,13.249,0.616,-0.616,0,1.182,0.055,-0.055,0,184.97706,17.79848,-17.79848,0,0.58200,0.05600,-0.05600,0,Mass,0.139000,,,1,0,0.12020,0.00190,-0.00190,0,76.700,7.100,-7.100,0,,5808.00,50.00,-50.00,0,1.01,0.04,-0.04,0,1.01,0.04,-0.04,0,-0.030,0.080,-0.080,0,[Fe/H],4.43,0.03,-0.03,0,17h37m05.64s,264.2735096,+25d43m52.13s,25.7311468,511.3880000,3.6340000,-3.5850000,1.9266000,0.0136983,-0.0136983,13.1970000,0.1260000,-0.1260000,11.6270000,0.0250000,-0.0250000,13.0955000,0.0003180,-0.0003180,,,,0,0,,Transit
HAT-P-56 b,HAT-P-56,Gaia DR2 3385777286999240576,1,1,0,Transit,2015,<a refstr=HUANG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....150...85H/abstract target=ref>Huang et al. 2015</a>,HATNet,Canon 200mm f/1.8L,2K CCD Sensor,0,2.79083000,0.00000500,-0.00000500,0,16.926,1.233,-1.233,0,1.510,0.110,-0.110,0,734.18730,139.84520,-139.84520,0,2.31000,0.44000,-0.44000,0,Mass,0.290000,,,1,0,0.10540,0.00086,-0.00086,0,262.000,30.000,-30.000,0,F8,6566.00,50.00,-50.00,0,1.47,0.11,-0.11,0,1.42,0.33,-0.33,0,0.000,,,0,[Fe/H],3.39,0.19,-0.19,0,06h43m23.52s,100.8480137,+27d15m07.86s,27.2521823,320.6390000,5.6520000,-5.4630000,3.0912300,0.0536330,-0.0536330,10.9200000,0.0300000,-0.0300000,9.8300000,0.0160000,-0.0160000,10.8245000,0.0004200,-0.0004200,10.900,,,1,0,,Transit
HAT-P-57 b,HAT-P-57,Gaia DR2 4483640815570090368,3,1,0,Transit,2015,<a refstr=HARTMAN_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....150..197H/abstract target=ref>Hartman et al. 2015</a>,HATNet,Multiple Telescopes,Multiple Instruments,0,2.46530000,0.00000300,-0.00000300,0,19.504,4.035,-4.035,0,1.740,0.360,-0.360,0,448.14030,483.10160,-483.10160,0,1.41000,1.52000,-1.52000,0,Mass,0.000000,,,0,0,0.09680,0.00150,-0.00150,0,215.200,,,0,A8 V,6330.00,124.00,-124.00,0,1.85,0.39,-0.39,0,2.77,1.74,-1.74,0,-0.250,,,0,[Fe/H],4.25,0.02,-0.02,0,18h18m58.42s,274.7434180,+10d35m49.91s,10.5971968,279.8600000,3.2490000,-3.1760000,3.5450500,0.0407057,-0.0407057,10.6390000,0.0070000,-0.0070000,9.4330000,0.0240000,-0.0240000,10.4253000,0.0005790,-0.0005790,,,,0,0,,Transit
HAT-P-6 b,HAT-P-6,Gaia DR2 1925321658546436352,1,1,0,Transit,2007,<a refstr=NOYES_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...673L..79N/abstract target=ref> Noyes et al. 2008 </a>,HATNet,Canon 200mm f/1.8L,2K CCD Sensor,0,3.85298000,0.00000500,-0.00000500,0,16.589,1.681,-1.681,0,1.480,0.150,-0.150,0,419.53560,95.34900,-95.34900,0,1.32000,0.30000,-0.30000,0,Mass,0.000000,,,0,0,0.09340,0.00050,-0.00050,0,115.500,4.200,-4.200,0,,6570.00,80.00,-80.00,0,1.62,0.17,-0.17,0,1.79,0.60,-0.60,0,-0.130,,,0,[Fe/H],4.22,0.03,-0.03,0,23h39m05.78s,354.7740917,+42d27m57.55s,42.4659866,275.3580000,3.6360000,-3.5450000,3.6035700,0.0469851,-0.0469851,10.4690000,0.0050000,-0.0050000,9.3130000,0.0190000,-0.0190000,10.3056000,0.0004390,-0.0004390,,,,6,1,,Transit
HAT-P-65 b,HAT-P-65,Gaia DR2 1757302881526250496,1,1,0,Transit,2016,<a refstr=HARTMAN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..182H/abstract target=ref>Hartman et al. 2016</a>,HATNet,Canon 200mm f/1.8L,2K CCD Sensor,0,2.60545520,0.00000310,-0.00000310,0,21.185,1.457,-1.457,0,1.890,0.130,-0.130,0,167.49641,26.37989,-26.37989,0,0.52700,0.08300,-0.08300,0,Mass,0.304000,,,1,0,0.10450,0.00240,-0.00240,0,68.000,11.000,-11.000,0,G2,5835.00,51.00,-51.00,0,1.86,0.10,-0.10,0,1.21,0.05,-0.05,0,0.100,0.080,-0.080,0,[Fe/H],3.98,0.04,-0.04,0,21h03m37.32s,315.9054895,+11d59m21.72s,11.9893675,738.5190000,19.9240000,-18.9220000,1.3260800,0.0353211,-0.0353211,13.1210000,0.0920000,-0.0920000,11.5280000,0.0250000,-0.0250000,12.9952000,0.0004510,-0.0004510,,,,0,0,,Transit
HAT-P-66 b,HAT-P-66,Gaia DR2 852608874351434752,1,1,0,Transit,2016,<a refstr=HARTMAN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..182H/abstract target=ref>Hartman et al. 2016</a>,HATNet,Canon 200mm f/1.8L,2K CCD Sensor,0,2.97208600,0.00000570,-0.00000570,0,17.822,1.793,-1.121,0,1.590,0.160,-0.100,0,248.86089,18.11631,-18.11631,0,0.78300,0.05700,-0.05700,0,Mass,0.090000,,,1,0,0.08720,0.00240,-0.00240,0,93.500,5.700,-5.700,0,G0,6002.00,50.00,-50.00,0,1.88,0.15,-0.10,0,1.25,0.11,-0.05,0,0.035,0.080,-0.080,0,[Fe/H],3.99,0.04,-0.04,0,10h02m17.43s,150.5726262,+53d57m02.97s,53.9508237,935.4560000,24.3610000,-23.1770000,1.0395800,0.0269714,-0.0269714,13.0140000,0.0800000,-0.0800000,11.6750000,0.0220000,-0.0220000,12.8922000,0.0002740,-0.0002740,,,,0,0,,Transit
HAT-P-67 b,HAT-P-67,Gaia DR2 1358614983131339392,2,1,0,Transit,2017,<a refstr=ZHOU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..211Z/abstract target=ref>Zhou et al. 2017</a>,HATNet,Canon 200mm f/1.8L,2K CCD Sensor,0,4.81010250,0.00000043,-0.00000033,0,23.371,1.076,-0.796,0,2.085,0.096,-0.071,0,108.06220,79.45750,-60.38770,0,0.34000,0.25000,-0.19000,0,Mass,0.000000,,,0,0,0.08340,0.00170,-0.00170,0,36.000,,,1,,6406.00,65.00,-61.00,0,2.55,0.10,-0.08,0,1.64,0.15,-0.07,0,-0.080,0.050,-0.050,0,[Fe/H],3.85,0.01,-0.02,0,17h06m26.57s,256.6107279,+44d46m36.79s,44.7768849,371.6860000,3.5630000,-3.4970000,2.6617600,0.0253586,-0.0253586,10.1060000,0.0050000,-0.0050000,8.9000000,0.0190000,-0.0190000,9.9749600,0.0004190,-0.0004190,,,,0,0,,Transit
HAT-P-68 b,HAT-P-68,Gaia DR2 675443053940533760,1,1,0,Transit,2020,<a refstr=LINDOR_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv201016026L/abstract target=ref>Lindor et al. 2020</a>,HATNet,Canon 200mm f/1.8L,2K CCD Sensor,0,2.29840551,0.00000052,-0.00000052,0,12.016,0.135,-0.135,0,1.072,0.012,-0.012,0,230.10892,13.66669,-13.66669,0,0.72400,0.04300,-0.04300,0,Mass,0.041000,,,1,0,0.16440,0.00150,-0.00150,0,143.400,8.400,-8.400,0,K,4508.00,43.00,-43.00,0,0.67,0.00,0.00,0,0.68,0.03,-0.01,0,-0.059,0.036,-0.036,0,[Fe/H],4.62,0.01,-0.01,0,07h53m55.96s,118.4831501,+23d56m17.59s,23.9382192,202.1520000,0.9530000,-0.9430000,4.9179300,0.0230162,-0.0230162,13.8020000,0.1260000,-0.1260000,11.0190000,0.0180000,-0.0180000,13.5442000,0.0006570,-0.0006570,,,,0,0,,Transit
HAT-P-69 b,HAT-P-69,Gaia DR2 3080104185367102592,1,1,0,Transit,2019,<a refstr=ZHOU_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..141Z/abstract target=ref>Zhou et al. 2019</a>,HATNet,Canon 200mm f/1.8L,2K CCD Sensor,0,4.78694910,0.00000180,-0.00000210,0,18.786,0.572,-0.370,0,1.676,0.051,-0.033,0,1137.83140,184.34140,-184.34140,0,3.58000,0.58000,-0.58000,0,Mass,0.000000,,,0,0,0.08703,0.00075,-0.00080,0,309.000,49.000,-49.000,0,,7394.00,360.00,-600.00,0,1.93,0.06,-0.03,0,1.65,0.06,-0.03,0,-0.069,0.058,-0.075,0,[Fe/H],4.11,0.03,-0.06,0,08h42m01.35s,130.5056385,+03d42m38.04s,3.7105662,341.2630000,5.1160000,-4.9690000,2.9020600,0.0429616,-0.0429616,9.7740000,0.0050000,-0.0050000,9.2800000,0.0230000,-0.0230000,9.7733200,0.0003360,-0.0003360,,,,0,0,,Transit
HAT-P-7 b,HAT-P-7,Gaia DR2 2129256395211984000,2,1,0,Transit,2008,<a refstr=PAL_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...680.1450P/abstract target=ref> Pal et al. 2008 </a>,HATNet,Canon 200mm f/1.8L,2K CCD Sensor,0,2.20474000,0.00001700,-0.00001700,0,16.926,2.354,-2.354,0,1.510,0.210,-0.210,0,584.80720,168.44990,-168.44990,0,1.84000,0.53000,-0.53000,0,Mass,0.000000,,,0,0,0.07541,0.00001,-0.00001,0,211.800,2.600,-2.600,0,,6389.00,17.00,-17.00,0,2.00,0.28,-0.28,0,1.56,0.68,-0.68,0,0.260,,,0,[Fe/H],4.07,0.06,-0.06,0,19h28m59.33s,292.2471900,+47d58m10.35s,47.9695429,341.0790000,2.4310000,-2.3970000,2.9031000,0.0205970,-0.0205970,10.4810000,0.0070000,-0.0070000,9.3340000,0.0180000,-0.0180000,10.3654000,0.0003930,-0.0003930,10.463,,,13,3,,Transit
HAT-P-70 b,HAT-P-70,Gaia DR2 3291455819447952768,1,1,0,Transit,2019,<a refstr=ZHOU_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..141Z/abstract target=ref>Zhou et al. 2019</a>,HATNet,Canon 200mm f/1.8L,2K CCD Sensor,0,2.74432452,0.00000079,-0.00000068,0,20.961,1.681,-1.121,0,1.870,0.150,-0.100,0,2154.88740,,,0,6.78000,,,0,Mass,0.000000,,,0,0,0.09887,0.00133,-0.00095,0,649.000,,,0,,8450.00,540.00,-690.00,0,1.86,0.12,-0.09,0,1.89,0.01,-0.01,0,-0.059,0.075,-0.088,0,[Fe/H],4.18,0.06,-0.06,0,04h58m12.56s,74.5523332,+09d59m52.73s,9.9979794,330.7390000,6.8180000,-6.5520000,2.9962100,0.0606236,-0.0606236,9.4700000,0.0040000,-0.0040000,8.9630000,0.0240000,-0.0240000,9.4517400,0.0002660,-0.0002660,,,,0,0,,Transit
HAT-P-8 b,HAT-P-8,Gaia DR2 1891507552824189568,3,1,0,Transit,2008,<a refstr=LATHAM_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...704.1107L/abstract target=ref> Latham et al. 2009 </a>,HATNet,Canon 200mm f/1.8L,2K CCD Sensor,0,3.07634000,0.00000400,-0.00000400,0,15.693,1.457,-1.457,0,1.400,0.130,-0.130,0,406.82240,85.81410,-85.81410,0,1.28000,0.27000,-0.27000,0,Mass,0.000000,,,0,0,0.09530,0.00090,-0.00090,0,153.100,3.900,-3.900,0,F6,6200.00,80.00,-80.00,0,1.57,0.15,-0.15,0,1.27,0.41,-0.41,0,0.010,,,0,[Fe/H],4.15,0.03,-0.03,0,22h52m09.96s,343.0414932,+35d26m49.84s,35.4471778,211.5530000,1.7090000,-1.6820000,4.6984400,0.0375931,-0.0375931,10.3580000,0.0050000,-0.0050000,8.9530000,0.0130000,-0.0130000,10.1489000,0.0004410,-0.0004410,,,,8,1,,Transit
HAT-P-9 b,HAT-P-9,Gaia DR2 898130030131443584,1,1,0,Transit,2008,<a refstr=SHPORER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...690.1393S/abstract target=ref> Shporer et al. 2009 </a>,HATNet,Canon 200mm f/1.8L,2K CCD Sensor,0,3.92281072,0.00000102,-0.00000102,0,15.614,0.751,-0.729,0,1.393,0.067,-0.065,0,238.05467,20.34112,-20.02329,0,0.74900,0.06400,-0.06300,0,Mass,0.084000,0.052000,-0.047000,0,0,0.10696,0.00086,-0.00087,0,82.100,6.500,-6.400,0,F7,6350.00,150.00,-150.00,0,1.34,0.07,-0.06,0,1.28,0.06,-0.06,0,0.120,0.200,-0.200,0,[Fe/H],4.29,0.03,-0.04,0,07h20m40.44s,110.1685157,+37d08m26.14s,37.1405946,455.2030000,8.9680000,-8.6350000,2.1687000,0.0421441,-0.0421441,12.3440000,0.0470000,-0.0470000,11.0150000,0.0210000,-0.0210000,12.1536000,0.0002270,-0.0002270,,,,7,1,,Transit
HATS-10 b,HATS-10,Gaia DR2 6771939433131924096,1,1,0,Transit,2015,<a refstr=BRAHM_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....150...33B/abstract target=ref>Brahm et al. 2015</a>,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,0,3.31284600,0.00000580,-0.00000580,0,10.862,0.684,-0.504,0,0.969,0.061,-0.045,0,167.17858,25.74423,-25.74423,0,0.52600,0.08100,-0.08100,0,Mass,0.501000,,,1,0,0.09030,0.00130,-0.00130,0,67.000,10.000,-10.000,0,,5880.00,120.00,-120.00,0,1.10,0.06,-0.04,0,1.10,0.05,-0.05,0,0.150,0.100,-0.100,0,[Fe/H],4.39,0.03,-0.03,0,19h37m13.64s,294.3068385,-22d12m16.15s,-22.2044872,534.8890000,7.7240000,-7.5120000,1.8411800,0.0264191,-0.0264191,13.2020000,0.0920000,-0.0920000,11.5110000,0.0250000,-0.0250000,12.9838000,0.0004040,-0.0004040,,,,0,0,,Transit
HATS-11 b,HATS-11,Gaia DR2 6771149120491232768,1,1,0,Transit,2016,<a refstr=RABUS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152...88R/abstract target=ref>Rabus et al. 2016</a>,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,0,3.61918800,0.00002800,-0.00002900,0,18.030,0.720,-0.720,0,1.609,0.064,-0.064,0,263.79890,31.78300,-31.78300,0,0.83000,0.10000,-0.10000,0,Mass,0.340000,,,1,0,0.10710,0.00070,-0.00050,0,112.000,15.000,-15.000,0,G0,6563.00,361.00,-361.00,0,1.54,0.06,-0.06,0,1.33,0.09,-0.09,0,0.030,0.160,-0.160,0,[Fe/H],4.19,0.05,-0.05,0,19h17m36.18s,289.4007603,-22d23m24.03s,-22.3900092,944.6030000,32.2620000,-30.2330000,1.0313500,0.0347051,-0.0347051,14.0600000,0.1030000,-0.1030000,12.2430000,0.0250000,-0.0250000,13.8333000,0.0002550,-0.0002550,13.737,,,0,0,,Transit
HATS-12 b,HATS-12,Gaia DR2 4083840142695803520,1,1,0,Transit,2016,<a refstr=RABUS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152...88R/abstract target=ref>Rabus et al. 2016</a>,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,0,3.14270200,0.00005300,-0.00005300,0,7.760,0.470,-0.470,0,0.692,0.042,-0.042,0,759.61370,27.65121,-27.65121,0,2.39000,0.08700,-0.08700,0,Mass,0.085000,,,1,0,0.06060,0.00140,-0.00090,0,250.600,9.400,-9.400,0,F,6357.00,91.00,-91.00,0,1.17,0.07,-0.07,0,1.16,0.04,-0.04,0,-0.100,0.050,-0.050,0,[Fe/H],4.36,0.04,-0.04,0,19h16m48.58s,289.2024020,-19d21m21.32s,-19.3559227,746.1380000,,,2.6734930,0.2912532,-0.2912532,12.8310000,0.0570000,-0.0570000,11.3910000,0.0230000,-0.0230000,12.6766000,0.0006090,-0.0006090,12.700,,,0,0,,Transit
