#@string,ra,dec
TARGET,RA,DEC
GJ 96,130.4102091,-17.6870623
GJ 9827,130.4324005,-17.7761940
Gl 378,130.5056385,-17.8754464
Gl 49,130.5477440,-17.9107147
Gl 686,130.6047813,-18.0116650
HAT-P-1,131.1069959,-18.3157745
HAT-P-11,131.2665588,-18.4359716
HAT-P-12,131.3583524,-18.8764247
HAT-P-13,131.5803897,-18.9714084
HAT-P-14,131.9181715,-19.0316268
HAT-P-15,132.0098683,-19.0547781
HAT-P-16,132.1268608,-19.0568182
HAT-P-17,132.1428530,-19.2561808
HAT-P-18,132.1698795,-19.2843527
HAT-P-19,132.4866957,-19.2916857
HAT-P-2,132.5235618,-19.3147271
HAT-P-20,132.6211743,-19.3193831
HAT-P-21,132.7531307,-19.3343650
HAT-P-22,132.7533077,-19.3476477
HAT-P-23,132.8228085,-19.3559227
HAT-P-24,132.8293081,-19.4375266
HAT-P-25,133.0992289,-19.5073960
HAT-P-26,133.1468373,-19.5423062
HAT-P-27,133.3242982,-19.5430504
HAT-P-28,133.4611999,-19.6052945
HAT-P-29,133.4782248,-19.6627918
HAT-P-3,133.6410515,-19.6908744
HAT-P-30,133.7094899,-19.7044472
HAT-P-31,133.7819507,-19.9314823
HAT-P-32,133.8203530,-19.9497314
HAT-P-33,133.8557342,-2.0576866
HAT-P-34,134.4441404,-2.0660477
HAT-P-35,134.7188514,-2.1444369
HAT-P-36,135.3022475,-2.1847173
HAT-P-37,135.3350487,-2.2611645
HAT-P-38,135.3443583,-2.2649921
HAT-P-39,135.4163028,-2.2780391
HAT-P-4,136.5741931,-2.3954489
HAT-P-40,137.4535054,-2.5132966
HAT-P-41,138.5916722,-2.5209338
HAT-P-42,138.7885794,-2.6387703
HAT-P-43,14.4869460,-2.6522901
HAT-P-44,14.5176494,-2.6696217
HAT-P-45,14.5594349,-2.7791393
HAT-P-46,14.6903464,-2.9709800
HAT-P-49,14.8759777,-20.1081634
HAT-P-5,140.0875894,-20.1663771
HAT-P-50,140.1029654,-20.1988975
HAT-P-51,140.3390845,-20.2317975
HAT-P-52,140.5063164,-20.2456126
HAT-P-53,140.6569501,-20.2673347
HAT-P-54,140.9455027,-20.2754374
HAT-P-55,141.9206435,-20.3556058
HAT-P-56,142.1665753,-20.4005984
HAT-P-57,143.7114034,-20.4509991
HAT-P-6,143.9383526,-20.6167923
HAT-P-65,144.0074644,-20.6551640
HAT-P-66,144.1193594,-20.6618430
HAT-P-67,144.2715659,-20.7203686
HAT-P-68,144.2876092,-20.8027024
HAT-P-69,144.2994103,-20.8564724
HAT-P-7,144.8751047,-20.9579570
HAT-P-70,144.9268593,-20.9824191
HAT-P-8,147.5105663,-21.0227209
HAT-P-9,147.5800667,-21.2033101
HATS-1,147.7821226,-21.2078587
HATS-10,148.1851516,-21.2720168
HATS-11,148.1898673,-21.4820568
HATS-12,148.4167672,-21.6650634
HATS-13,148.6431193,-21.7274194
HATS-14,149.0243714,-21.8012007
HATS-15,149.0332672,-21.8677233
HATS-16,149.1235154,-21.9107112
HATS-17,149.2409308,-22.0943303
HATS-18,15.0060770,-22.1163901
HATS-2,15.1383168,-22.1532316
HATS-22,15.2175909,-22.2044872
HATS-23,15.5518893,-22.2477071
HATS-24,15.5881733,-22.2934206
HATS-25,15.6687321,-22.2958661
HATS-26,150.1971964,-22.3583447
HATS-27,150.4066612,-22.3881770
HATS-28,150.5726262,-22.3900092
HATS-29,150.5865513,-22.4070553
HATS-3,151.6695435,-22.4279999
HATS-30,152.1794175,-22.4536134
HATS-31,152.2182549,-22.5468824
HATS-32,152.5319349,-22.5630097
HATS-33,153.7090696,-22.6741248
HATS-34,154.1867820,-22.9868431
HATS-35,154.2710615,-23.0860048
HATS-36,154.2777769,-23.1312775
HATS-37 A,154.5874958,-23.1894196
HATS-38,154.6449033,-23.2028183
HATS-39,154.6710977,-23.2181063
HATS-4,154.9081869,-23.2413163
HATS-40,154.9932080,-23.2594663
HATS-41,155.5433193,-23.3548451
HATS-42,155.6814593,-23.4528090
HATS-43,155.8684866,-23.4860860
HATS-44,155.9801144,-23.5482730
HATS-45,156.4054989,-23.5582432
HATS-46,156.6226981,-23.6196996
HATS-47,157.0372806,-23.7812403
HATS-48 A,157.0626200,-23.8197924
HATS-49,157.4123405,-23.8609457
HATS-5,157.6222171,-23.9241221
HATS-50,157.9356855,-23.9357894
HATS-51,158.2250301,-23.9461020
HATS-52,159.3890808,-23.9754880
HATS-53,159.4209874,-24.0991859
HATS-54,16.1663441,-24.1369079
HATS-55,16.2274724,-24.1797939
HATS-56,16.4625203,-24.3035060
HATS-57,16.5094891,-24.3689282
HATS-58 A,16.6550286,-24.4273897
HATS-59,16.7786879,-24.4286938
HATS-6,16.9536005,-24.6955750
HATS-60,160.0598236,-24.7870527
HATS-61,160.5587646,-24.8921008
HATS-62,160.5941265,-24.9699462
HATS-63,160.6023689,-24.9906029
HATS-64,160.7021351,-25.1713396
HATS-65,160.7480950,-25.2088028
HATS-66,160.9012407,-25.2762982
HATS-67,161.0866672,-25.3023073
HATS-68,161.7069053,-25.3096721
HATS-69,161.9090273,-25.3496674
HATS-7,162.6440933,-25.5282343
HATS-70,163.0323119,-25.5948963
HATS-71,163.1010355,-25.6463233
HATS-72,163.2519122,-25.6873756
HATS-8,163.3241150,-25.7483655
HATS-9,163.7888521,-25.8031728
HD 100655,164.3126363,-25.9910525
HD 100777,164.6191243,-26.0271749
HD 10180,164.6433493,-26.0541438
HD 101930,164.6987480,-26.0775640
HD 102117,164.8563364,-26.0967205
HD 102195,164.8647611,-26.5150392
HD 102272,164.8961152,-26.6163743
HD 102329,165.1671980,-26.6595286
HD 102365,165.3993679,-26.6928654
HD 102843,165.6904843,-26.7402021
HD 102956,165.8344710,-26.7976689
HD 103197,165.8658796,-26.8940678
HD 103720,166.1853484,-27.0337556
HD 103774,166.3125657,-27.0504156
HD 103949,166.3187996,-27.0781199
HD 104067,166.4296276,-27.5222273
HD 10442,166.4415020,-27.6233218
HD 104985,166.8010058,-27.6234285
HD 106252,166.8643532,-27.6361171
HD 106270,166.9798793,-27.8415947
HD 106315,167.0937488,-27.8431369
HD 10647,167.3279228,-27.9725758
HD 106515 A,167.5966158,-28.0617941
HD 10697,167.7745044,-28.0727849
HD 107148,168.2929079,-28.1972149
HD 108147,168.5825696,-28.4190757
HD 108236,168.6376584,-28.4984750
HD 108341,168.9366786,-28.5608343
HD 108863,168.9810458,-28.5856004
HD 108874,169.0418328,-28.7105836
HD 109246,169.1170280,-28.7806402
HD 109271,169.3034598,-28.7841175
HD 109749,169.4388603,-28.8543535
HD 110014,169.4475218,-29.0586551
HD 110082,169.4490102,-29.1560639
HD 110113,169.4827046,-29.4164870
HD 111232,169.4836540,-29.4217086
HD 111591,169.6327547,-29.5392222
HD 111998,169.7935178,-29.5433642
HD 112640,17.3825067,-29.6451030
HD 113337,17.4747400,-29.7767800
HD 113538,17.6412694,-29.8004440
HD 113996,17.6979344,-29.8167919
HD 114386,170.1031027,-29.8764758
HD 114613,170.1408561,-29.8971929
HD 114729,170.1554763,-29.9172536
HD 114762,170.2147665,-29.9379163
HD 114783,170.3243250,-3.1021394
HD 11506,170.4549045,-3.3199927
HD 116029,171.0715576,-3.3705631
HD 117207,171.2749348,-3.3810594
HD 11755,171.5151874,-3.3894613
HD 117618,171.5196515,-3.3963607
HD 118203,171.6896870,-3.4444994
HD 11964,171.8450533,-3.4956913
HD 11977,171.9336590,-3.5530888
HD 120084,172.1216476,-3.5531133
HD 121504,172.1261621,-3.5624887
HD 12484,172.3353708,-3.5809053
HD 125390,172.5601410,-3.6661273
