#@string,ra,dec
TARGET,RA,DEC
HD 95127,256.1292826,-71.4224896
HD 95338,256.3463760,-71.8955269
HD 95872,256.5375549,-72.3219221
HD 96063,256.6107279,-72.5126648
HD 96127,257.3930947,-73.5352345
HD 96167,257.5206970,-73.6060358
HD 96992,257.7681391,-73.6998131
HD 97658,257.8161940,-74.4100732
HD 98219,258.0966686,-75.1989452
HD 98649,258.8313991,-75.3514992
HD 98736,259.0020507,-76.3040320
HD 99109,259.4183491,-76.6806061
HD 99492,259.9051092,-77.3853286
HD 99706,259.9639522,-77.7183219
HIP 105854,26.0093029,-78.2791464
HIP 107772,26.2324076,-79.8514218
HIP 107773,26.6329360,-8.0269855
HIP 109384,26.7932253,-8.0536206
HIP 109600,260.1161719,-8.2336165
HIP 114933,260.1423366,-8.2811442
HIP 116454,261.2086139,-8.3096141
HIP 12961,261.3495847,-8.3176353
HIP 14810,261.4395312,-8.3280256
HIP 35173,262.1700476,-8.4717104
HIP 38594,262.5448903,-8.4784159
HIP 41378,263.3395365,-8.5095364
HIP 4845,263.8960378,-8.5359826
HIP 48714,264.1041731,-8.5970858
HIP 5158,264.2610245,-8.7145697
HIP 54373,264.2630197,-8.7472172
HIP 56640,264.2735096,-8.8480392
HIP 57274,264.4764878,-8.9262512
HIP 63242,264.7466665,-8.9271609
HIP 65 A,265.4925754,-8.9757427
HIP 65407,266.0361585,-8.9952309
HIP 65891,267.2848846,-80.2044169
HIP 67522,267.6404906,-80.4646041
HIP 67537,267.6599252,-83.7437671
HIP 67851,267.8677483,-84.2317494
HIP 70849,268.0291106,-88.1211107
HIP 71135,268.3043361,-9.0229405
HIP 74890,268.4181383,-9.0560881
HIP 75092,268.8907069,-9.0878076
HIP 79431,269.1479583,-9.3249700
HIP 8541,269.7566013,-9.3993646
HIP 90988,27.4077310,-9.4141696
HIP 91258,27.5271962,-9.4581715
HIP 97233,270.1613723,-9.5097112
HR 5183,270.3800811,-9.5135645
HR 810,270.4441831,-9.5165689
HR 858,270.6304652,-9.5626286
IC 4651 9122,270.7787177,-9.5966905
K2-10,271.3396528,-9.6076115
K2-100,271.4893395,-9.6120084
K2-101,271.5376722,-9.6248232
K2-102,272.6326268,-9.7652392
K2-104,273.4988604,-9.7741342
K2-105,274.3732697,-9.8064431
K2-107,274.4055335,-9.8816109
K2-108,274.7012534,-9.9460704
K2-11,274.7434180,0.0054085
K2-110,275.0159879,0.1044685
K2-111,275.4573269,0.1218359
K2-113,276.4975053,0.2268931
K2-114,276.9561859,0.3066895
K2-115,277.2955423,0.4259660
K2-116,277.4780753,0.4447043
K2-117,277.6011767,0.4880606
K2-118,278.0643694,0.4931670
K2-119,278.3688659,0.5931866
K2-12,278.3892816,0.6035960
K2-120,278.4958319,0.6406182
K2-121,278.5246658,0.7460143
K2-122,278.6317411,0.7588247
K2-123,278.6818389,0.7893425
K2-124,278.6883216,0.7992898
K2-125,278.6992360,0.8152163
K2-126,278.9020691,0.8890076
K2-127,279.2211173,0.9372782
K2-128,279.2624729,0.9683270
K2-129,279.5842102,1.0650227
K2-13,279.7504991,1.1675866
K2-130,279.7826586,1.2005122
K2-131,28.2106607,1.2306237
K2-132,28.7157956,1.2858679
K2-133,28.7347403,1.3001522
K2-136,280.6296561,1.3375909
K2-137,280.6671392,1.3828070
K2-138,280.6872998,1.3836634
K2-139,280.7866461,1.4262972
K2-14,280.9005676,1.5420011
K2-140,281.0725563,1.5668631
K2-141,281.1947316,1.5784137
K2-146,283.2643203,1.6906217
K2-147,283.3054489,1.7049101
K2-148,283.9203211,1.7290087
K2-149,284.2960393,1.7675497
K2-15,284.3997616,1.8591088
K2-150,284.4156750,1.8598933
K2-151,284.4439052,1.8938365
K2-152,284.4997178,1.9866832
K2-153,284.5483823,10.0324103
K2-154,284.9853550,10.0404302
K2-155,285.0033888,10.0803708
K2-156,285.0965172,10.1288464
K2-157,285.2742901,10.1897385
K2-158,285.7739138,10.2065866
K2-159,286.0363025,10.2465770
K2-16,286.0408755,10.4629385
K2-160,286.3363574,10.4692176
K2-161,286.3667500,10.5971968
K2-162,286.3760037,10.7388967
K2-163,286.6383905,10.7947051
K2-164,286.7175787,10.8367972
K2-165,286.8085258,10.8391378
K2-166,287.2632091,10.8475571
K2-167,287.3265292,10.9101444
K2-168,287.4786474,10.9336212
K2-169,287.4844021,10.9829509
K2-17,287.6979913,11.0561751
K2-170,287.7903733,11.2500236
K2-171,288.4008374,11.5110933
K2-172,288.6720048,11.6710271
K2-173,288.6887221,11.6924845
K2-174,288.7094401,11.6950708
K2-175,288.8890182,11.6954244
K2-176,289.0667070,11.7537171
K2-177,289.0918242,11.7562959
K2-178,289.1485491,11.8146537
K2-179,289.2024020,11.8427484
K2-18,289.2277322,11.8482712
K2-180,289.2974275,11.8865128
K2-181,289.4007603,11.9190729
K2-182,289.4792124,11.9222550
K2-183,289.8239604,11.9736828
K2-184,289.9998695,11.9893675
K2-185,29.2634506,12.1393474
K2-186,29.2884252,12.2818510
K2-187,29.7078360,12.3520103
K2-188,290.2674078,12.5724480
K2-189,290.2705419,12.6209392
K2-19,290.4209694,12.9599703
K2-190,290.7212224,13.0146799
K2-191,290.8101704,13.0443172
K2-192,291.0323102,13.2330548
K2-193,291.0636813,13.2394527
K2-194,291.1481028,13.4975122
K2-195,291.1623865,13.5191871
K2-196,291.2873731,13.5497322
K2-197,291.4181275,13.5507189
K2-198,291.4787013,13.5590288
K2-199,291.5885696,13.7353093
K2-200,291.5953596,13.7763085
K2-201,291.7770457,14.0194586
K2-202,292.0552827,14.0546830
K2-203,292.1022982,14.1240201
K2-204,292.2471900,14.2626064
K2-205,292.8733696,14.3678691
K2-206,292.9397825,14.4618826
K2-207,293.0176220,14.5020556
K2-208,293.2822344,14.6163182
K2-209,293.2866147,14.6893834
K2-21,293.5607117,14.6902225
K2-210,293.7327826,15.2477027
K2-211,293.7583002,15.3349441
K2-212,293.8330329,15.3912090
K2-213,293.9850284,15.4306118
K2-214,294.2987668,15.5467507
K2-215,294.3068385,15.5587994
K2-216,294.6336944,15.6251296
K2-217,294.6614126,15.6558964
K2-218,294.9416887,15.6806039
K2-219,295.4656422,16.0404806
K2-22,295.7438485,16.0907958
K2-220,296.4221207,16.2786991
K2-221,296.6884420,16.3471660
K2-222,296.7428786,16.4141986
K2-223,297.3226523,16.4195160
K2-224,297.3915731,16.4743566
K2-225,297.7101763,16.5092010
K2-226,297.7909214,16.6323305
K2-227,298.0191857,16.6344396
K2-228,298.5624491,16.7621462
K2-229,298.6249797,16.8649024
K2-230,299.0506412,16.8676948
K2-231,299.1393094,16.9017663
K2-232,299.4268472,16.9125679
K2-233,3.9032733,17.0857195
K2-237,3.9617073,17.1905813
K2-238,30.0588307,17.3878826
K2-239,30.6115322,17.4571647
K2-24,300.1821223,17.4752873
K2-240,300.4280761,17.5171240
K2-241,300.6956339,17.5423852
K2-242,300.9092476,17.5699627
K2-243,301.8318167,17.5793267
K2-244,302.0256247,17.5841081
K2-245,302.3687580,17.6399744
K2-246,302.8779827,17.7932516
K2-247,303.1667996,17.8300283
K2-248,303.1954355,17.8949795
K2-249,303.3818697,17.9069486
K2-25,303.4990864,18.1047776
K2-250,303.8284712,18.1857284
K2-251,304.0248392,18.1896082
K2-252,304.2079924,18.2352618
K2-253,304.5388430,18.2684913
K2-254,304.8000322,18.3961597
K2-255,305.0957239,18.4649505
K2-256,305.2219454,18.5959509
K2-257,305.4413294,18.6355718
K2-258,306.1239076,18.6457524
K2-259,306.7411340,18.6543230
K2-26,306.9286462,18.7692509
K2-260,307.0792427,18.8252879
K2-261,307.7255587,18.8273617
K2-263,307.8598998,18.8842419
K2-264,309.4637796,18.9338205
K2-265,309.5112337,18.9533580
K2-266,309.8869681,18.9766197
K2-268,309.9664609,19.0100046
K2-269,31.0427614,19.0201591
K2-27,31.1423525,19.0923416
K2-270,31.7932860,19.1199667
K2-271,31.9091639,19.1802782
K2-272,310.4364195,19.2769570
K2-273,311.0427558,19.4020565
K2-274,311.0920041,19.5584068
K2-275,311.2911369,19.6984010
K2-276,311.6733450,19.7737202
K2-277,312.4493079,19.7787519
K2-278,312.4574879,19.8413890
K2-279,313.2154754,19.8912626
K2-28,313.6872928,2.0208765
K2-280,313.7832393,2.0622774
K2-281,313.7882932,2.0844547
K2-282,313.9000261,2.1963040
K2-283,314.2685227,2.2446794
K2-284,314.5754375,2.2823788
K2-285,314.6078375,2.3350265
K2-286,315.0259661,2.3432860
K2-287,315.4771912,2.4181937
K2-288 B,315.5319489,2.5027534
K2-289,315.9054895,2.5138829
K2-29,316.6318791,2.5807711
K2-290,316.6664183,2.5941222
K2-291,316.9614798,2.6190363
K2-292,317.5515264,2.7003890
K2-293,318.4010002,2.7027847
K2-294,318.7370122,2.7044193
K2-295,319.1147513,2.7601075
K2-3,319.2250346,2.7805614
K2-30,319.6995877,2.8158078
K2-308,319.9496969,2.8209912
K2-31,32.0576350,20.0826974
K2-315,32.2977385,20.1060074
K2-316,32.4173964,20.1570318
K2-317,32.6224785,20.2268164
K2-318,32.7820850,20.2549034
K2-319,320.5794196,20.2923139
K2-32,320.7628761,20.3593384
K2-320,321.5962275,20.3646078
K2-321,322.0510568,20.3992512
K2-322,322.2537644,20.4415410
K2-323,323.0966714,20.4483925
K2-324,323.3912616,20.4550162
K2-325,324.5351273,20.4594885
K2-326,324.5359781,20.5990205
K2-329,325.0145363,20.7289784
K2-33,325.5917768,20.7360891
K2-34,325.8537599,20.7690958
K2-35,327.4977057,21.0052692
K2-36,327.5005089,21.0747961
K2-37,327.6656953,21.0971302
K2-38,328.1517893,21.2399220
K2-39,328.5174799,21.2488844
K2-4,328.9759206,21.2985263
K2-42,329.0999413,21.3532633
K2-43,329.3332489,21.4532748
K2-44,329.7490639,21.5481990
K2-45,33.1310921,21.6169065
K2-46,33.1780708,21.8946875
K2-47,330.7950219,21.9480993
K2-48,330.8714021,22.1526136
K2-49,331.2030920,22.2359194
K2-5,331.2771441,22.2993491
K2-50,331.5266563,22.4348186
K2-52,332.3407712,22.4724517
K2-53,332.3748117,22.6339399
K2-54,332.3951324,22.7097759
K2-55,332.4089720,22.8416192
K2-57,332.4138478,22.8631285
K2-58,332.4229938,22.8794399
K2-59,332.7143373,22.8825674
K2-6,332.9482355,23.0556870
K2-60,332.9638643,23.1329509
K2-61,333.0270790,23.1924709
K2-62,333.1100738,23.3574367
K2-63,333.2125206,23.3748792
K2-64,333.4267738,23.4624210
K2-65,333.4324675,23.7567524
K2-66,333.7518786,23.7676546
K2-68,333.8218395,23.9382192
K2-69,334.0195539,24.1272483
K2-7,334.3645089,24.1429374
K2-70,334.5286724,24.2047218
K2-71,334.6227504,24.2451409
K2-72,334.7969885,24.3361185
K2-73,335.0256620,24.4016558
K2-74,335.0949721,24.4639425
K2-75,335.3081368,24.5619241
K2-77,335.4506923,24.5958335
K2-79,335.5129199,24.6480103
K2-8,335.5661579,24.6484725
K2-80,335.6233145,24.8892770
K2-81,335.7596816,25.0098135
K2-83,336.1523363,25.1973548
K2-84,336.3221454,25.4135632
K2-85,336.5761233,25.4824005
K2-86,336.7624130,25.5731366
K2-87,336.8803957,25.6816494
K2-88,337.0442461,25.7105962
K2-89,337.4578243,25.7311468
K2-9,337.5136198,25.7419719
K2-90,337.6178427,25.9204327
K2-91,337.7506266,26.0067142
K2-95,338.0541631,26.3104077
K2-97,338.3682095,26.3276805
K2-98,338.3996623,26.4266061
K2-99,338.4759328,26.6926759
KELT-1,338.6062312,26.7030669
KELT-10,338.8448960,26.7429068
KELT-11,338.9425500,26.8776171
KELT-12,338.9837166,27.2521823
KELT-14,339.0258401,27.2582799
KELT-15,339.6748444,27.3030721
KELT-16,339.9192984,27.3631342
KELT-17,34.1979991,27.6244384
KELT-18,34.2933480,28.0261270
KELT-19 A,34.5609102,28.0999769
KELT-2 A,34.7480718,28.1696248
KELT-20,340.0832062,28.3298154
KELT-21,340.3037846,28.4995140
KELT-23 A,340.4962038,28.5660169
KELT-24,340.8380941,29.0222492
KELT-3,341.2404563,29.0662082
KELT-4 A,341.3640336,29.2281610
KELT-6,341.6527140,29.2649187
KELT-7,341.7248656,29.5726698
KELT-8,341.8768719,29.6160222
KELT-9,342.0316493,29.6722662
KOI-142,342.3858995,29.8790428
KPS-1,342.6918241,29.8945410
Kapteyn,343.0414932,3.0071331
Kepler-19,343.2665641,3.0399357
Kepler-20,343.3239737,3.0970732
Kepler-25,343.4094703,3.1329325
Kepler-407,343.6639631,3.2723812
Kepler-424,343.8721029,3.2939492
Kepler-432,343.9748751,3.3266992
Kepler-454,344.3675399,3.3371629
Kepler-48,344.4453632,3.4742143
Kepler-56,344.5647243,3.4755183
Kepler-65,344.8735878,3.5077702
Kepler-68,345.6526588,3.7105662
Kepler-82,345.7838088,3.8033357
Kepler-93,346.0750861,3.8665038
Kepler-94,346.4668274,30.2449545
Kepler-97,346.6263919,30.2865981
L 168-9,347.2974170,30.4451688
L 98-59,347.4928024,30.4881882
LHS 1140,347.6219227,30.6401450
LHS 1478,347.7043164,30.6733817
LHS 1815,348.1571282,30.9571333
LHS 3844,348.3372026,30.9576484
LP 714-47,348.4947931,30.9750611
LP 791-18,348.5319387,31.1559115
LSPM J2116+0234,348.7243579,31.2192001
LTT 1445 A,348.9259334,31.4627508
LTT 3780,348.9490311,31.5511553
LTT 9779,348.9745031,31.6610186
Lupus-TR-3,348.9930457,31.7875183
MASCARA-1,349.0634651,31.8258855
MASCARA-4,349.2071949,31.8604391
NGC 2682 Sand 364,349.3843458,31.9899732
NGC 2682 Sand 978,349.5592665,32.2460441
NGC 2682 YBP 1194,349.6229547,32.3164548
NGC 2682 YBP 1514,349.6947029,32.5810446
NGC 2682 YBP 401,35.3834942,32.8107000
NGTS-1,35.5624031,33.0123251
NGTS-10,35.8085099,33.0566885
NGTS-11,350.0285917,33.2664632
NGTS-12,350.0599827,33.3001861
NGTS-13,350.4946927,33.3179532
NGTS-14 A,350.9170464,33.3549277
NGTS-15,351.1353785,33.7443882
NGTS-16,351.4707282,33.8350214
NGTS-17,351.6064952,33.8823291
NGTS-18,351.6122620,33.9505774
NGTS-2,351.6144715,34.1341722
NGTS-3 A,351.6534162,34.2419984
NGTS-4,351.7717763,34.4189900
NGTS-5,352.0516724,34.5793389
NGTS-6,352.8241500,34.6006972
NGTS-8,352.8362230,34.7114025
NGTS-9,353.0331863,34.7284020
OGLE-TR-10,353.0620655,34.7805902
OGLE-TR-111,353.2293802,34.9146658
OGLE-TR-113,353.2435381,34.9853306
OGLE-TR-132,353.3319001,35.4471778
OGLE-TR-182,353.5629149,35.6558818
OGLE-TR-211,353.6162694,35.6614312
OGLE-TR-56,353.9169507,35.9723170
OGLE2-TR-L9,353.9543517,36.2129562
POTS-1,354.1686959,36.2295450
Pr0201,354.5025617,36.2962939
Pr0211,354.5319820,36.5568570
Proxima Cen,354.7740917,36.5701761
Qatar-1,354.8358233,36.6214617
Qatar-10,354.9154673,36.6325360
Qatar-2,355.4640788,36.8154936
Qatar-3,356.6667136,37.0218242
Qatar-4,357.5806472,37.1405946
Qatar-5,357.8464340,37.2117397
Qatar-6,357.8791976,37.5463268
Qatar-7,358.5151344,37.5504441
Qatar-8,358.5588439,37.8516556
Qatar-9,358.6688767,38.2290751
Ross 128,359.1519716,38.2421682
TAP 26,359.1915117,38.3475349
TIC 237913194,359.3490277,38.6723124
TOI-1130,359.7164302,38.6749190
TOI-122,359.9008737,38.9627315
TOI-1235,359.9749837,38.9669132
TOI-125,36.7127375,38.9681137
TOI-1266,36.7758112,39.0944695
TOI-132,36.8678846,39.2358367
TOI-1333,37.1555223,39.3837953
TOI-1478,38.0391598,39.4606020
TOI-150,38.3615690,39.4879038
TOI-157,38.8323674,39.9389161
TOI-1601,39.2412736,4.0594175
TOI-163,39.2441029,4.2277722
TOI-169,39.2577379,4.2546649
TOI-172,39.4243555,4.2649344
TOI-1728,39.8976689,4.3577516
TOI-178,4.0634323,4.3807215
TOI-1899,4.1463468,4.4413751
TOI-201,4.4471631,4.5574311
TOI-216,4.6030424,4.5752495
TOI-237,4.6126677,4.5772338
TOI-251,4.6762645,4.5805708
TOI-257,4.8214389,4.6164303
TOI-269,4.8592750,4.6724124
TOI-270,40.6417178,4.7640203
TOI-421,40.7102869,4.7870288
TOI-451,40.7425426,4.9606795
TOI-481,41.0400779,40.0186905
TOI-519,41.5924261,40.1433462
TOI-540,41.6391598,40.3879446
TOI-561,41.6800749,40.4304931
TOI-564,42.4366123,40.5307308
TOI-628,42.7217412,40.6694130
TOI-640,42.7684964,40.8672284
TOI-677,42.9849779,40.9489390
TOI-700,43.2691449,41.0134321
TOI-763,43.3636339,41.0280207
TOI-776,43.6880738,41.0479601
TOI-813,44.3388743,41.0920773
TOI-824,45.0443115,41.1511076
TOI-837,45.4624781,41.2289354
TOI-849,45.5825716,41.4038147
TOI-892,45.6406187,41.7324230
TOI-905,46.9090081,41.8718070
TOI-942,47.3689472,42.0613451
TOI-954,47.5172608,42.0624526
TRAPPIST-1,47.8092750,42.2475930
TYC 0434-04538-1,48.1943193,42.3385782
TYC 1422-614-1,48.4354731,42.4630961
TYC 3318-01333-1,49.5621730,42.4659866
TYC 3667-1280-1,49.9997666,42.7515862
TYC 4282-00605-1,5.1317548,42.9661583
Teegarden's Star,5.1605621,43.4933100
TrES-1,5.1669536,43.7722065
TrES-2,5.2180424,43.8144094
TrES-3,5.2377567,43.8163621
TrES-4,5.3055886,43.9189897
TrES-5,5.6185250,43.9662025
V1298 Tau,50.0139757,44.0247296
V830 Tau,50.0166232,44.0275965
WASP-1,50.1794053,44.0428571
WASP-10,51.5474155,44.2597855
WASP-100,51.5531053,44.3015500
WASP-101,51.7501882,44.3025361
WASP-103,51.8040469,44.4777303
WASP-104,52.3420548,44.7768849
WASP-105,52.5035514,44.9153672
WASP-106,52.8180374,45.1722194
WASP-107,52.8888524,45.4573423
WASP-11,53.2284306,45.6009241
WASP-113,53.6511231,46.6878512
WASP-114,54.0032486,46.9600996
WASP-117,54.7514566,46.9862880
WASP-118,54.8491271,47.0147826
WASP-119,54.9281897,47.0855544
WASP-12,55.2065581,47.3519076
WASP-120,55.2285210,47.4972606
WASP-121,55.2296156,47.8802075
WASP-123,55.2559307,47.9695429
WASP-124,55.4442857,48.0285650
WASP-126,55.4590314,48.0818635
WASP-127,55.8093566,48.0824515
WASP-129,55.9336392,48.2859173
WASP-13,56.2563447,48.3732334
WASP-130,57.0018601,48.4067674
WASP-131,57.0671234,48.5774500
WASP-132,57.4854562,48.6733443
WASP-133,57.5962104,48.8847322
WASP-135,58.2639299,48.9300579
WASP-136,58.2691796,48.9960191
WASP-138,58.4290113,49.0402129
WASP-139,58.7967878,49.3164211
WASP-14,58.9574779,49.5869395
WASP-140,59.0374860,49.6145027
WASP-141,59.1510071,49.6530375
WASP-142,59.1527391,49.7299481
WASP-144,59.4335463,49.7441421
WASP-145 A,59.4648290,49.8446488
WASP-147,59.8903081,5.0235858
WASP-148,59.9013782,5.1631615
WASP-15,6.0851069,5.2258070
WASP-150,6.6135927,5.3064776
WASP-151,6.7026401,5.4625071
WASP-153,60.3752402,5.5383811
WASP-156,60.3855387,5.5736911
WASP-157,60.7929729,5.6053735
WASP-158,60.9482779,5.7008254
WASP-159,61.3316540,5.8368669
WASP-16,61.6454173,5.9028670
WASP-160 B,61.6578005,5.9376586
WASP-161,61.7556630,5.9473626
WASP-162,61.9410587,5.9882890
WASP-163,62.3228353,50.1287115
WASP-164,62.6160813,50.2169068
WASP-165,62.6704220,50.2251472
WASP-166,62.9663850,50.3763099
WASP-167,63.2182348,50.5168243
WASP-168,63.2739346,50.6037764
WASP-169,63.3747060,51.0411328
WASP-17,63.7562662,51.2691212
WASP-170,63.8082666,51.2887780
WASP-171,64.1205476,51.7787754
WASP-172,64.1902212,52.2767265
WASP-173 A,64.7154450,52.6835211
WASP-174,64.9392168,52.7904721
WASP-175,65.1975693,52.9441443
WASP-176,65.4695814,53.0212751
WASP-177,65.4696140,53.3809615
WASP-178,66.2108141,53.5090244
WASP-18,66.2363638,53.5682016
WASP-180 A,66.2481420,53.7281876
WASP-181,66.3709016,53.9221505
WASP-182,66.6100461,53.9508237
WASP-183,67.1484425,54.2876184
WASP-184,67.1546573,54.3033625
WASP-185,67.2228465,54.4861530
WASP-186,67.4128615,54.8948177
WASP-187,67.4185820,55.4730273
WASP-19,67.8560643,56.3924701
WASP-190,68.1364792,56.7303001
WASP-192,68.2918259,56.8871415
WASP-2,68.4160804,57.0294818
WASP-20,68.4667685,57.1696255
WASP-21,68.9598159,57.6406584
WASP-22,68.9801740,57.8172095
WASP-23,69.4681379,58.0432233
WASP-24,7.0539375,58.1611753
WASP-25,7.1413494,58.2681094
WASP-26,7.3020115,58.4261485
WASP-28,7.3289156,58.8754484
WASP-29,7.4990038,58.9661403
WASP-3,7.7095292,59.2538819
WASP-31,70.1493775,59.4125030
WASP-32,70.4770964,59.4442735
WASP-33,70.7353853,59.4489033
WASP-34,71.8244347,59.4918364
WASP-35,72.1198522,6.0595116
WASP-36,72.1529519,6.0970828
WASP-37,72.5745099,6.1238647
WASP-38,72.6605916,6.1348146
WASP-39,72.6940102,6.2040783
WASP-4,72.9005729,6.2161030
WASP-41,73.0245495,6.2191669
WASP-42,73.3553101,6.2858689
WASP-43,73.4600970,6.3470302
WASP-44,73.6822877,6.3498994
WASP-45,73.7014398,6.4071412
WASP-46,73.7667927,6.4123178
WASP-47,73.9096193,6.4293305
WASP-48,73.9800129,6.4752347
WASP-49,74.5523332,6.4795703
WASP-5,75.2996637,6.4815879
WASP-50,75.4868824,6.5138223
WASP-52,75.7953820,6.5637842
WASP-53,75.8462827,6.6632062
WASP-54,76.0818912,6.7819742
WASP-55,76.3096949,6.8167277
WASP-56,76.4459400,6.8359338
WASP-57,76.6496172,6.8464327
WASP-58,76.8673317,6.8636732
WASP-59,76.8980559,6.8688469
WASP-6,76.9820146,6.9456827
WASP-60,77.0044889,6.9697828
WASP-61,77.4037569,60.6762985
WASP-62,77.9586613,60.7177048
WASP-63,78.1505649,60.9641194
WASP-64,78.2955912,61.1349912
WASP-65,78.3391194,61.4608518
WASP-66,78.9198197,61.6793482
WASP-67,78.9471415,61.7015065
WASP-68,79.1407971,61.9701062
WASP-69,79.4207483,62.2391907
WASP-7,79.7682532,62.3454386
WASP-70 A,8.2938367,62.7859505
WASP-71,8.7401487,63.1556146
WASP-72,80.5382418,63.3527828
WASP-73,80.6378979,63.4538750
WASP-74,80.8399887,63.6103280
WASP-75,81.8532824,64.3183753
WASP-76,82.7142134,64.3280504
WASP-77 A,82.8886636,64.7971531
WASP-78,84.2599947,64.9638452
WASP-79,84.2605324,65.1623313
WASP-8,84.2992798,65.5633652
WASP-80,84.3267559,65.5941901
WASP-81,85.0074276,65.8336973
WASP-82,86.6451363,66.2350517
WASP-83,86.7382280,66.3587097
WASP-84,86.7761233,66.8503014
WASP-85 A,86.8212337,67.2392041
WASP-87,86.9963141,67.2429122
WASP-88,87.1398205,68.3336741
WASP-89,87.4017825,68.7199779
WASP-90,87.6795610,69.2766204
WASP-91,88.1468079,69.5708373
WASP-92,88.2511811,69.6391355
WASP-93,88.5172191,7.0562793
WASP-94 A,88.6260731,7.1833758
WASP-94 B,89.5988945,7.2692169
WASP-95,89.9565956,7.2769939
WASP-96,89.9566041,7.3527156
WASP-97,9.4587443,7.4350768
WASP-98,9.5165832,7.5878315
WASP-99,9.5730343,7.6157759
WD 1856+534,9.8217519,7.8450492
WTS-1,9.8387218,7.9952914
WTS-2,9.9980016,70.5270835
Wendelstein-1,91.0897193,71.3139560
Wendelstein-2,91.0899861,71.6557270
Wolf 1061,91.1253346,71.7530882
Wolf 503,91.6243820,71.8239428
XO-1,91.6628015,72.1557114
XO-2 N,91.8722801,73.1521372
XO-2 S,92.4854730,73.8275672
XO-3,92.6435993,74.0800789
XO-4,92.6640226,74.1555480
XO-5,93.0032173,74.4893379
XO-6,93.3993231,74.9009379
XO-7,94.1120914,76.5514045
YZ Cet,94.2064312,76.7101475
alf Ari,94.3363562,76.9053359
alf Tau,94.4447595,77.6331009
bet Cnc,94.7929552,78.0646376
bet Pic,94.8207350,79.2318488
bet UMi,94.8946124,79.7894032
eps CrB,95.0599971,8.3579183
eps Eri,96.1820205,8.4611051
eps Ind A,96.4105736,8.5230171
eps Tau,96.7446427,8.6428871
gam 1 Leo,97.0335983,8.7610793
gam Cep,97.0957165,8.8675474
gam Lib,97.1902262,8.9874328
iot Dra,97.3058709,80.1364033
kap CrB,97.6366450,81.3263096
mu Leo,97.6960311,83.6975307
nu Oph,97.7204249,85.2333208
ome Ser,98.1724172,85.7365329
omi CrB,98.3030763,9.1790688
omi UMa,98.3511016,9.1853306
psi 1 Dra B,99.0367212,9.2573953
rho CrB,99.1712760,9.5012663
tau Boo,99.2630608,9.5167694
tau Cet,99.4200181,9.6929181
tau Gem,99.4489580,9.7454368
ups And,99.7345935,9.7494181
xi Aql,99.8979924,9.9979794
